Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2016-11-04 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.359276346691338 72.3907186602162 100 0 0.75 0 -0.000555724464212193 NA 0.000184125714790898 NA 8.76491188430856 100 64.9121866882176 63.560699 0
2016-11-07 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.3336137504991 72.3907186493931 100 0 0.75 0 -0.000454683652537249 NA 0.000150648312101644 NA 8.10122971687119 100 64.8581271806889 63.560699 0
2016-11-08 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.309784196892021 72.3907186454847 100 0 0.75 0 -0.000372013897530476 NA 0.000123257709901345 NA 7.48800121471444 100 64.8062300534613 63.560699 0
2016-11-09 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.287656754256877 72.3907186440734 100 0 0.75 0 -0.00030437500707039 NA 0.00010084721719201 NA 6.92144015545859 100 64.7564088113229 63.560699 0
2016-11-10 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.267109843238529 72.3907186435637 100 0 0.75 0 -0.000249034096693955 NA 8.25113595207352e-05 NA 6.39802302687721 100 64.7085804188699 63.560699 0
2016-11-11 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.248030568721491 72.3907186433797 100 0 0.75 0 -0.000203755170022327 NA 6.75092941533288e-05 NA 5.91447676237934 100 64.6626651621151 63.560699 0
2016-11-14 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.230314099527099 72.3907186433132 100 0 0.75 0 -0.000166708775472813 NA 5.52348770345417e-05 NA 5.46776545329774 100 64.6185865156305 63.560699 0
2016-11-15 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.21386309241802 72.3907186432892 100 0 0.75 0 -0.000136398089023211 NA 4.51921721191705e-05 NA 5.05507656947193 100 64.5762710150053 63.560699 0
2016-11-16 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.198587157245305 72.3907186432806 100 0 0.75 0 -0.000111598436473536 NA 3.69754135520486e-05 NA 4.67380707863941 100 64.5356481344051 63.560699 0
2016-11-17 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.184402360299211 72.3907186432775 100 0 0.75 0 -9.13078116601657e-05 NA 3.02526110880397e-05 NA 4.32154974667742 100 64.4966501690289 63.560699 0
2016-11-18 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.171230763134982 72.3907186432763 100 0 0.75 0 -7.47063913583174e-05 NA 2.47521363447598e-05 NA 3.9960798176273 100 64.4592121222677 63.560699 0
2016-11-21 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.158999994339626 72.3907186432759 100 0 0.75 0 -6.11234111113506e-05 NA 2.02517479184398e-05 NA 3.6953422090824 100 64.423271597377 63.560699 0
