Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.178051826896307 0.15289675094935 0.0621850179803198 -0.00728733110601665
2011-12-19 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.176731925533892 0.150921553027753 0.059519691572109 -0.0103297963625981
2011-12-20 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.175407530365143 0.148949349320174 0.0569005110546212 -0.0123321020717193
2011-12-21 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.174078689543969 0.146980135408858 0.0543281544709306 -0.0131589030434147
2011-12-22 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.172745451570718 0.145013901498163 0.0518032660826515 -0.0127855029793822
2011-12-23 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.171407865293225 0.143050632441194 0.0493264554532116 -0.0112963413428755
2011-12-26 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.170065979907866 0.14109030777121 0.0468982965679092 -0.00887280931792778
2011-12-27 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.168719844960575 0.139132901737824 0.044519326993236 -0.0057720378544408
2011-12-28 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.167369510347859 0.13717838334797 0.0421900470778462 -0.00229941227530706
2011-12-29 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.166015026317792 0.135226716411643 0.0399109191975058 0.00122183174411239
2011-12-30 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.164656443470996 0.133277859592374 0.0376823670462232 0.00448056313932499
2012-01-04 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.163293812761597 0.131331766462433 0.0355047749756967 0.00720437924554784
2012-01-05 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.161927185498175 0.129388385562707 0.033378487385056 0.0091808018242594
2012-01-06 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 7.26 6.69 0 0.160556613344682 0.127447660467237 0.0313038081627857 0.0102718132717914
2012-01-09 6.69 2 0 0 0 0 0 0 0 0 0 0 0.81 -40.7407407407408 NA 0 NA NA -0.407407407407407 NA 0 1.22994930132612 4.44089209850063e-14 NA 6.69 6.69 0 0.159182148321356 0.125509529852357 0.0292810001825623 0.0104212747733499
