Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.203111909629 11.23 0 -0.108130944731229 -0.0796780387126139 -0.0360525802846245 0.00236834881390502
2011-12-19 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2036496714364 11.23 0 -0.107400796485 -0.0782579195456972 -0.0341870009428185 0.00384708922993493
2011-12-20 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2041766780077 11.23 0 -0.106670857363161 -0.0768437178206938 -0.0323509004727653 0.00493755924242745
2011-12-21 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2046931444475 11.23 0 -0.105941156574818 -0.0754355747867153 -0.0305444537478499 0.00556430557855769
2011-12-22 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2051992815586 11.23 0 -0.10521172320095 -0.0740336300984636 -0.0287678236720161 0.00569326918797186
2011-12-23 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2056952959274 11.23 0 -0.104482586193336 -0.0726380218017204 -0.0270211612692735 0.00533279253115859
2011-12-26 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2061813900089 11.23 0 -0.103753774373492 -0.0712488863193097 -0.025304605774783 0.00453132613777241
2011-12-27 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2066577622087 11.23 0 -0.103025316431634 -0.069866358437559 -0.0236182847274335 0.00337212186941427
2011-12-28 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2071246069645 11.23 0 -0.102297240925657 -0.0684905712932213 -0.0219623140638245 0.00196536966049221
2011-12-29 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2075821148252 11.23 0 -0.101569576280137 -0.0671216563608747 -0.0203367982135769 0.000438392251190578
2011-12-30 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2080304725287 11.23 0 -0.10084235078534 -0.0657597434407791 -0.0187418301959066 -0.001075344977298
2012-01-04 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2084698630781 11.23 0 -0.100115592596268 -0.0644049606471864 -0.0171774917173844 -0.00244753896562822
2012-01-05 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2089004658166 11.23 0 -0.0993893297317063 -0.0630574343971011 -0.0156438532708263 -0.00356573795886073
2012-01-06 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2093224565002 11.23 0 -0.0986635900732979 -0.0617172893994806 -0.0141409742352567 -0.00434249980758228
2012-01-09 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2097360073702 11.23 0 -0.0979384013646349 -0.0603846486448689 -0.0126689029768907 -0.00472221517821625
2012-01-10 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2101412872228 11.23 0 -0.0972137912103643 -0.0590596333954538 -0.0112276769510871 -0.00468499802261535
2012-01-11 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2105384614784 11.23 0 -0.0964897870753161 -0.057742363175552 -0.00981732280523184 -0.00424733135613664
2012-01-12 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2109276922488 11.23 0 -0.0957664162836473 -0.0564329557624981 -0.00843785648250872 -0.00345948505399862
2012-01-13 11.23 2 0 0 0 0 0 0 0 0 0 0 1.92 100 NA 0 NA NA 1 NA 0 1.01947880293398 -3.33066907387547e-14 NA 11.2113091384038 11.23 0 -0.0950437060180018 -0.0551315271779416 -0.00708928332652947 -0.00240004699477714
