Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.57647366008779 5.62 0 0.172775484724395 0.0611230781639942 0.00533274249172822 -0.00414180354504157
2011-12-19 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.57734418688603 5.62 0 0.171956516787516 0.0592734124845389 0.00345466265584471 -0.00602150477027408
2011-12-20 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.57819730314831 5.62 0 0.171133289450621 0.0574368227758046 0.00161720516834363 -0.00729575611562039
2011-12-21 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.57903335708534 5.62 0 0.170305832536291 0.0556135596997651 -0.000179322491423273 -0.0078708286997875
2011-12-22 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.57985268994364 5.62 0 0.169474176306666 0.0538038714038154 -0.00193463453214804 -0.00771898316628228
2011-12-23 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58065563614476 5.62 0 0.168638351465227 0.0520080034104551 -0.00364846705315558 -0.00687892344552266
2011-12-26 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58144252342187 5.62 0 0.16779838915855 0.050226198506911 -0.0053205782252741 -0.00544996395389297
2011-12-27 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58221367295343 5.62 0 0.166954320978041 0.0484586966348148 -0.00695074844973087 -0.00358071031664919
2011-12-28 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58296939949436 5.62 0 0.166106178961634 0.0467057347800219 -0.00853878049486689 -0.00145363680361599
2011-12-29 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58371001150447 5.62 0 0.165253995595466 0.0449675468626805 -0.0100844996104916 0.000732698792609066
2011-12-30 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.58443581127439 5.62 0 0.164397803815524 0.0432443636276563 -0.0115877536197724 0.00278196370050221
2012-01-04 5.62 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.08894312487859 2.22044604925031e-14 NA 5.5851470950489 5.62 0 0.16353763700925 0.0415364125354094 -0.0130484129885671 0.00451717767370718
