Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.12758413573627e-14 NA 11.164850706218 11.39 0 0.692666660203781 0.54192589961828 0.215185398380218 -0.0330638946006565
2011-12-19 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.12411191351405e-14 NA 11.1693536920937 11.39 0 0.689113894784 0.532479767452617 0.201161357745417 -0.0429845293466977
2011-12-20 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.12133413573627e-14 NA 11.1737666182518 11.39 0 0.685550589164522 0.522993538372539 0.187178924969896 -0.0486992937476738
2011-12-21 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11911191351405e-14 NA 11.1780912858868 11.39 0 0.68197679391963 0.513468291050253 0.17324457478122 -0.0498008464053923
2011-12-22 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11733413573627e-14 NA 11.182329460169 11.39 0 0.678392560782802 0.503905139006256 0.159364945621126 -0.0463551883780342
2011-12-23 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11591191351405e-14 NA 11.1864828709656 11.39 0 0.674797942664859 0.494305231150471 0.145546836686878 -0.0388783281479603
2011-12-26 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11477413573627e-14 NA 11.1905532135463 11.39 0 0.671192993672326 0.484669752303283 0.131797204283081 -0.0282540944105429
2011-12-27 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11386391351405e-14 NA 11.1945421492754 11.39 0 0.667577769126007 0.474999923694122 0.118123157444596 -0.0156121803487776
2011-12-28 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11313573573627e-14 NA 11.1984513062899 11.39 0 0.663952325579775 0.465297003435093 0.104531952792289 -0.00219147995973668
2011-12-29 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11255319351405e-14 NA 11.2022822801641 11.39 0 0.660316720839574 0.455562286967055 0.0910309885848837 0.0107885597467381
2011-12-30 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11208715973627e-14 NA 11.2060366345608 11.39 0 0.656671013982636 0.445797107475487 0.0776277979322035 0.0222336145249966
2012-01-04 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11171433271405e-14 NA 11.2097159018696 11.39 0 0.653015265376909 0.43600283627331 0.064330041137707 0.0312511807636411
2012-01-05 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11141607109627e-14 NA 11.2133215838322 11.39 0 0.649349536700695 0.426180883147823 0.0511454971413543 0.0371992108345065
2012-01-06 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11117746180205e-14 NA 11.2168551521556 11.39 0 0.645673890962498 0.416332696668757 0.0380820540375746 0.0397112443857686
2012-01-09 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11098657436667e-14 NA 11.2203180491125 11.39 0 0.641988392521077 0.406459764454418 0.0251476986475323 0.0387032733235579
2012-01-10 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11083386441837e-14 NA 11.2237116881302 11.39 0 0.63829310710571 0.396563613392767 0.0123505051298745 0.0343663199701485
2012-01-11 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11071169645972e-14 NA 11.2270374543676 11.39 0 0.634588101836659 0.386645809814286 -0.000301377380177659 0.0271466059094676
2012-01-12 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11061396209281e-14 NA 11.2302967052803 11.39 0 0.63087344524584 0.376707959613352 -0.0127997381071867 0.0177131441027063
2012-01-13 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11053577459928e-14 NA 11.2334907711746 11.39 0 0.627149207297687 0.366751708314855 -0.0251363189441625 0.00691130259445671
2012-01-16 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11047322460446e-14 NA 11.2366209557512 11.39 0 0.623415459410221 0.356778741082732 -0.0373028297227727 -0.0042990775852183
2012-01-17 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.1104231846086e-14 NA 11.2396885366361 11.39 0 0.619672274476306 0.346790782667098 -0.0492909644262167 -0.0149207091646879
2012-01-18 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11038315261191e-14 NA 11.2426947659034 11.39 0 0.615919726885102 0.336789597286628 -0.0610924183171417 -0.0240073515348955
2012-01-19 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11035112701456e-14 NA 11.2456408705853 11.39 0 0.612157892543704 0.326776988442888 -0.072698905943867 -0.0307557388599289
2012-01-20 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11032550653668e-14 NA 11.2485280531736 11.39 0 0.608386848898964 0.316754798663331 -0.0841021799785855 -0.0345890252272265
2012-01-30 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11030501015437e-14 NA 11.2513574921102 11.39 0 0.604606674959499 0.306724909169746 -0.0952940508314266 -0.0352182549340418
2012-01-31 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11028861304853e-14 NA 11.254130342268 11.39 0 0.600817451317868 0.296689239469007 -0.106266406974191 -0.0326705083689998
2012-02-01 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11027549536386e-14 NA 11.2568477354226 11.39 0 0.597019260172929 0.286649746863107 -0.117011235897534 -0.027278234005915
2012-02-02 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11026500121612e-14 NA 11.2595107807141 11.39 0 0.593212185352354 0.276608425875536 -0.12752064561535 -0.0196321187581137
2012-02-03 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11025660589792e-14 NA 11.2621205650999 11.39 0 0.589396312335323 0.266567307591289 -0.137786886620348 -0.0105069212981808
2012-02-06 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11024988964337e-14 NA 11.2646781537979 11.39 0 0.585571728275351 0.256528458907899 -0.14780237418542 -0.00077364374159572
2012-02-07 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11024451663973e-14 NA 11.2671845907219 11.39 0 0.58173852202329 0.246493981695157 -0.157559710896574 0.00868856863471779
2012-02-08 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11024021823681e-14 NA 11.2696408989075 11.39 0 0.577896784150465 0.236466011861399 -0.167051709295069 0.017070474382662
2012-02-09 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11023677951448e-14 NA 11.2720480809293 11.39 0 0.574046606971944 0.226446718324508 -0.176271414499204 0.0236947872672868
2012-02-10 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11023402853662e-14 NA 11.2744071193107 11.39 0 0.570188084569954 0.216438301886116 -0.18521212666994 0.0280603200824108
2012-02-13 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11023182775433e-14 NA 11.2767189769245 11.39 0 0.566321312817412 0.20644299400778 -0.193867423179698 0.0298690099267791
2012-02-14 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11023006712849e-14 NA 11.278984597386 11.39 0 0.562446389401576 0.196463055488326 -0.202231180339893 0.0290377770211001
2012-02-15 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022865862782e-14 NA 11.2812049054383 11.39 0 0.558563413847804 0.186500775041926 -0.210297594540783 0.0256971072619012
2012-02-16 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022753182729e-14 NA 11.2833808073295 11.39 0 0.554672487543418 0.176558467776922 -0.218061202656539 0.020177500507919
2012-02-17 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022663038686e-14 NA 11.285513191183 11.39 0 0.55077371376166 0.166638473575865 -0.225516901569626 0.0129840581099763
2012-02-20 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022590923452e-14 NA 11.2876029273593 11.39 0 0.546867197685727 0.15674315537776 -0.232659966671455 0.00475899645333699
2012-02-21 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022533231265e-14 NA 11.2896508688121 11.39 0 0.542953046432883 0.146874897363995 -0.239486069200828 -0.00376784085964976
2012-02-22 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022487077515e-14 NA 11.2916578514359 11.39 0 0.539031369078632 0.137036103050026 -0.245991292288116 -0.0118391302620355
2012-02-23 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022450154515e-14 NA 11.2936246944071 11.39 0 0.535102276680947 0.127229193285436 -0.252172145581189 -0.0187373620968883
2012-02-24 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022420616115e-14 NA 11.295552200519 11.39 0 0.531165882304535 0.117456604165591 -0.258025578338815 -0.0238531780374087
2012-02-27 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022396985395e-14 NA 11.2974411565086 11.39 0 0.527222301045138 0.107720784858758 -0.263548990888574 -0.0267465115275116
2012-02-28 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022378080819e-14 NA 11.2992923333784 11.39 0 0.523271650053848 0.0980241953531329 -0.268740244358936 -0.0271916292730672
2012-02-29 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022362957159e-14 NA 11.3011064867109 11.39 0 0.519314048561424 0.0883693041289129 -0.273597668609112 -0.0251987039330785
2012-03-01 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.1102235085823e-14 NA 11.3028843569767 11.39 0 0.515349617902609 0.078758585761177 -0.278120068295197 -0.0210082233275939
2012-03-02 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022341179087e-14 NA 11.3046266698371 11.39 0 0.511378481540415 0.06919451845997 -0.282306727026904 -0.0150593986062306
2012-03-05 11.39 2 0 0 0 0 0 0 0 0 0 0 1.94 100 NA 0 NA NA 1 NA 0 1.01524515025162 -1.11022333435773e-14 NA 11.3063341364404 11.39 0 0.507400765090378 0.059679581554656 -0.286157409585539 -0.00793826292409117
