Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.00701498471782 8.17 0 1.06558176023641 0.782013073376346 0.504480926849963 -0.0598217768420413
2011-12-19 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.01027468502346 8.17 0 1.06139024702728 0.770137778594116 0.485310209696207 -0.0879470692735835
2011-12-20 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.013469191323 8.17 0 1.05718045575287 0.758190916774716 0.466021724330022 -0.107518674467571
2011-12-21 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.01659980749653 8.17 0 1.05295236893074 0.746172968459246 0.446619575838959 -0.116667797129282
2011-12-22 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.0196678113466 8.17 0 1.04870596937746 0.734084447083308 0.427108174161275 -0.114732602777889
2011-12-23 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.02267445511967 8.17 0 1.04444124021789 0.721925900253186 0.407492249486985 -0.102361278708643
2011-12-26 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.02562096601728 8.17 0 1.04015816489466 0.709697911057785 0.387776868059438 -0.0813548887431432
2011-12-27 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.02850854669693 8.17 0 1.03585672717786 0.69740109941637 0.367967448334528 -0.0543088380457846
2011-12-28 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.031338375763 8.17 0 1.03153691117497 0.685036123462032 0.348069777444991 -0.0241757087434431
2011-12-29 8.17 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 8.03411160824774 8.17 0 1.02719870134094 0.672603680960684 0.328090027906513 0.00613076493413001
