Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000717318890432913 -100 NA 0 0.25 0 -0.000361394769944153 NA 0 0 0 NA 0.058861316566954 1e-04 0 9.89271503692214 9.34920929539225 8.62159892331989 6.10647166112994
2011-12-19 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000666081826830562 -100 NA 0 0.25 0 -0.000295686629954307 NA 0 0 0 NA 0.0565108639042758 1e-04 0 9.8846176701574 9.32694537848945 8.55150348701069 6.52837454460043
2011-12-20 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000618504553485522 -100 NA 0 0.25 0 -0.00024192542450807 NA 0 0 0 NA 0.0542544293481048 1e-04 0 9.87647188274883 9.30437940449806 8.47734155947766 6.75001949252406
2011-12-21 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000574325656807984 -100 NA 0 0.25 0 -0.000197938983688421 NA 0 0 0 NA 0.0520882521741806 1e-04 0 9.86827714541845 9.28150410914254 8.39858940099413 6.85092465775777
2011-12-22 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000533302395607414 -100 NA 0 0.25 0 -0.000161950077563253 NA 0 0 0 NA 0.0500087220872134 1e-04 0 9.86003291877567 9.25831196255461 8.31461510970173 6.85790701465944
2011-12-23 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000495209367349742 -100 NA 0 0.25 0 -0.000132504608915389 NA 0 0 0 NA 0.0480123732037249 1e-04 0 9.85173865305765 9.23479515985287 8.22464808565561 6.77612185600134
2011-12-26 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000459837269681903 -100 NA 0 0.25 0 -0.000108412861839864 NA 0 0 0 NA 0.0460958782755759 1e-04 0 9.84339378786106 9.21094561182015 8.12773777919366 6.59362630616958
2011-12-27 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.00042699175041891 -100 NA 0 0.25 0 -8.87014324144339e-05 NA 0 0 0 NA 0.0442560431445528 1e-04 0 9.83499775186516 9.18675493579756 8.02269759228704 6.27062009119494
2011-12-28 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000396492339674702 -100 NA 0 0.25 0 -7.25738992481732e-05 NA 0 0 0 NA 0.0424898014187707 1e-04 0 9.82654996254571 9.16221444694343 7.90802865945085 5.6873245509977
2011-12-29 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000368171458269366 -100 NA 0 0.25 0 -5.93786448394144e-05 NA 0 0 0 NA 0.0407942093620199 1e-04 0 9.81804982587934 9.1373151500405 7.78181822472948 4.62218391986476
2011-12-30 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000341873496964411 -100 NA 0 0.25 0 -4.85825275958845e-05 NA 0 0 0 NA 0.0391664409875391 1e-04 0 9.80949673603811 9.11204773207763 7.64161287090183 5.51842018126701
2012-01-04 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000317453961466954 -100 NA 0 0.25 0 -3.97493407602692e-05 NA 0 0 0 NA 0.0376037833480375 1e-04 0 9.80089007507373 9.08640255588433 7.48429403664193 6.132456967581
2012-01-05 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000294778678505028 -100 NA 0 0.25 0 -3.25221878947657e-05 NA 0 0 0 NA 0.036103632014116 1e-04 0 9.79222921259106 9.06036965515915 7.30609106803853 6.44960338217362
2012-01-06 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000273723058611812 -100 NA 0 0.25 0 -2.66090628229901e-05 NA 0 0 0 NA 0.0346634867335514 1e-04 0 9.78351350541056 9.03393873130965 7.10327621526089 6.61534496990291
2012-01-09 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000254171411568111 -100 NA 0 0.25 0 -2.17710514006283e-05 NA 0 0 0 NA 0.0332809472642093 1e-04 0 9.77474229721902 9.00709915261409 6.87559994343352 6.67681986818835
2012-01-10 1e-04 2 0 0 0 0 0 0 0 0 0 0 0.000236016310741817 -100 NA 0 0.25 0 -1.78126784186958e-05 NA 0 0 0 NA 0.031953709373641 1e-04 0 9.7659149182083 8.97983995632742 6.63926270222386 6.64946692344576
