Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.45598800089687 2.6 0 1.41291435340305 1.14713678207188 0.808108889180523 -0.0925394914181361
2011-12-19 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.45886824087894 2.6 0 1.40851367860776 1.13413914427725 0.781436034220265 -0.136892303812447
2011-12-20 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.46169087606136 2.6 0 1.40409260718208 1.12103275932763 0.754346815939217 -0.168202070556918
2011-12-21 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.46445705854013 2.6 0 1.39965108506157 1.1078171563467 0.726833223760435 -0.182938020322673
2011-12-22 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.46716791736933 2.6 0 1.39518905781275 1.09449187689602 0.69888703396852 -0.179710063998322
2011-12-23 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.46982455902194 2.6 0 1.39070647062998 1.08105647623207 0.67049980921193 -0.159598328451671
2011-12-26 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.4724280678415 2.6 0 1.38620326833241 1.06751052464485 0.641662899250069 -0.125832189853598
2011-12-27 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.47497950648467 2.6 0 1.38167939536076 1.05385360888277 0.612367443212459 -0.0829787037921701
2011-12-28 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.47747991635498 2.6 0 1.37713479577421 1.04008533366889 0.582604373686162 -0.0360062860261732
2011-12-29 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.47993031802788 2.6 0 1.37256941324718 1.0262053233138 0.552364423005431 0.0104594460399923
2011-12-30 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.48233171166732 2.6 0 1.36798319106613 1.01221322343074 0.521638132185696 0.052563314677578
2012-01-04 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.48468507743397 2.6 0 1.36337607212631 0.998108702758664 0.490415863024636 0.0873716683942082
2012-01-05 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.48699137588529 2.6 0 1.35874799892848 0.983891455099559 0.458687813988159 0.11285284972456
2012-01-06 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.48925154836759 2.6 0 1.35409891357563 0.969561201376261 0.426444040611585 0.127785695309543
2012-01-09 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.49146651740024 2.6 0 1.34942875776964 0.955117691817559 0.393674481279075 0.131660929640047
2012-01-10 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.49363718705223 2.6 0 1.34473747280794 0.940560708277554 0.360368989401111 0.124608218330462
2012-01-11 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.49576444331119 2.6 0 1.34002499958013 0.925890066696561 0.326517373194923 0.107359222488986
2012-01-12 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.49784915444496 2.6 0 1.33529127856456 0.911105619711179 0.292109444490933 0.0812421360047008
2012-01-13 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.49989217135606 2.6 0 1.33053624982495 0.896207259421386 0.257135078245395 0.0481913250276292
2012-01-16 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.50189432792894 2.6 0 1.32575985300686 0.881194920322865 0.221584284741918 0.0107434914487915
2012-01-17 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.50385644137036 2.6 0 1.32096202733424 0.866068582413016 0.185447296819553 -0.028020682551071
2012-01-18 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.50577931254296 2.6 0 1.31614271160594 0.850828274479385 0.148714674881167 -0.0646376069571307
2012-01-19 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.5076637262921 2.6 0 1.31130184419212 0.835474077579493 0.111377432921148 -0.0955627384972633
2012-01-20 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.50951045176626 2.6 0 1.30643936303071 0.820006128721289 0.0734271893758786 -0.11761120363395
2012-01-30 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51132024273093 2.6 0 1.3015552056238 0.804424624753615 0.0348563472526238 -0.128464470172799
2012-01-31 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51309383787631 2.6 0 1.29664930903403 0.788729826476282 -0.00434169125876782 -0.127100648570207
2012-02-01 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51483196111879 2.6 0 1.29172160988091 0.772922062979428 -0.0441722696354321 -0.113991564970691
2012-02-02 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51653532189641 2.6 0 1.28677204433717 0.757001736221924 -0.0846391743197621 -0.0909842394210161
2012-02-03 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51820461545848 2.6 0 1.28180054812502 0.740969325858594 -0.12574427639607 -0.0609133516455858
2012-02-06 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.51984052314931 2.6 0 1.27680705651244 0.724825394325911 -0.167487108432296 -0.0270902954231916
2012-02-07 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.52144371268633 2.6 0 1.27179150430937 0.708570592195712 -0.209864366076622 0.00717390942211482
2012-02-08 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.5230148384326 2.6 0 1.26675382586397 0.692205663806162 -0.252869322806245 0.038915149470968
2012-02-09 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.52455454166395 2.6 0 1.26169395505875 0.67573145317885 -0.296491145130862 0.0657121466833835
2012-02-10 2.6 2 0 0 0 0 0 0 0 0 0 0 0.46 100 NA 0 NA NA 1 NA 0 1.05865914547317 -2.22044604925031e-14 NA 2.52606345083067 2.6 0 1.25661182530674 0.659148910230339 -0.340714094702763 0.0857623860634612
