Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 7.99731054059754 8.03 0 0.0278809761912933 -0.0164146555240543 -0.0170101841769501 0.000775993424098509
2011-12-19 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 7.99796432978559 8.03 0 0.0277458715158589 -0.0166752226300209 -0.0170860727333828 0.000864160049288909
2011-12-20 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 7.99860504318988 8.03 0 0.0276099702562425 -0.0169266749145596 -0.0171520433866985 0.000876626994402496
2011-12-21 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 7.99923294232608 8.03 0 0.0274732797090658 -0.0171690338130523 -0.0172081681854808 0.000815203854454438
2011-12-22 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 7.99984828347956 8.03 0 0.0273358072886141 -0.0174023232129579 -0.0172545227465815 0.000687681979585797
2011-12-23 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00045131780997 8.03 0 0.0271975605262034 -0.0176265694333928 -0.0172911862171472 0.000506990941363306
2011-12-26 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00104229145377 8.03 0 0.0270585470695366 -0.0178418012037871 -0.0173182412345962 0.000289980318202154
2011-12-27 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00162144562469 8.03 0 0.0269187746820445 -0.0180480496416227 -0.0173357738845894 5.59299076625663e-05
2011-12-28 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0021890167122 8.03 0 0.0267782512422188 -0.018245348229291 -0.0173438736570226 -0.000175091616652079
2011-12-29 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00274523637796 8.03 0 0.0266369847429222 -0.0184337327900703 -0.0173426334000935 -0.000383889750473987
2011-12-30 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0032903316504 8.03 0 0.0264949832906973 -0.0186132414632554 -0.0173321492724594 -0.00055369738981037
2012-01-04 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00382452501739 8.03 0 0.0263522551050541 -0.0187839146784539 -0.01731252069355 -0.000671494466316425
2012-01-05 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00434803451704 8.03 0 0.0262088085177488 -0.0189457951290741 -0.0172838502920576 -0.000728988165549005
2012-01-06 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0048610738267 8.03 0 0.026064651972046 -0.0190989277450209 -0.0172462438526613 -0.0007231758898123
2012-01-09 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00536385235017 8.03 0 0.0259197940219695 -0.0192433596646224 -0.0171998102610202 -0.000656449435721296
2012-01-10 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00585657530316 8.03 0 0.0257742433315404 -0.0193791402058121 -0.0171446614470847 -0.000536240188474313
2012-01-11 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0063394437971 8.03 0 0.0256280086739986 -0.0195063208365864 -0.017080912326771 -0.000374246954464752
2012-01-12 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00681265492116 8.03 0 0.0254810989310164 -0.0196249551447609 -0.0170086807420486 -0.00018532537351712
2012-01-13 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00727640182273 8.03 0 0.0253335230918914 -0.0197350988070473 -0.0169280873994815 1.38537835336905e-05
2012-01-16 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00773087378628 8.03 0 0.0251852902527312 -0.0198368095574724 -0.016839255807279 0.000206253750875796
2012-01-17 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00817625631055 8.03 0 0.0250364096156246 -0.0199301471551716 -0.0167423122109027 0.000375901350413432
2012-01-18 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00861273118434 8.03 0 0.0248868904877915 -0.0200151733515654 -0.0166373855272788 0.000509178893086215
2012-01-19 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00904047656066 8.03 0 0.0247367422807305 -0.0200919518569558 -0.0165246072776672 0.000595878846266107
2012-01-20 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00945966702944 8.03 0 0.0245859745093444 -0.0201605483065608 -0.0164041115192393 0.000629946756032229
2012-01-30 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.00987047368885 8.03 0 0.0244345967910538 -0.0202210302260117 -0.0162760347754163 0.000609866161517036
2012-01-31 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01027306421508 8.03 0 0.0242826188448961 -0.0202734669963354 -0.016140515965017 0.000538668039327117
2012-02-01 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01066760293078 8.03 0 0.0241300504906157 -0.0203179298184493 -0.015997696330273 0.000423574899680812
2012-02-02 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01105425087216 8.03 0 0.0239769016477327 -0.0203544916771938 -0.0158477193637592 0.000275315055903391
2012-02-03 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01143316585472 8.03 0 0.0238231823346009 -0.020383227304916 -0.0156907307342951 0.000107165284835009
2012-02-06 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01180450253762 8.03 0 0.0236689026674539 -0.0204042131446474 -0.0155268782118698 -6.6200451640519e-05
2012-02-07 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01216841248687 8.03 0 0.0235140728594327 -0.0204175273128815 -0.0153563115916437 -0.000229963277092793
2012-02-08 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01252504423713 8.03 0 0.0233587032196025 -0.0204232495619858 -0.015179182617084 -0.000370410063956328
2012-02-09 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01287454335239 8.03 0 0.0232028041519552 -0.0204214612422686 -0.0149956449022759 -0.000476077617338255
2012-02-10 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01321705248534 8.03 0 0.0230463861543937 -0.0204122452637248 -0.0148058538534821 -0.00053869217333391
2012-02-13 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01355271143563 8.03 0 0.0228894598177094 -0.0203956860574874 -0.0146099665899855 -0.000553822344657728
2012-02-14 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01388165720692 8.03 0 0.0227320358245362 -0.0203718695370014 -0.0144081418642807 -0.000521189014999202
2012-02-15 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01420402406278 8.03 0 0.0225741249482998 -0.0203408830589495 -0.0142005399816623 -0.000444607830219823
2012-02-16 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01451994358153 8.03 0 0.022415738052143 -0.0203028153839528 -0.01398732271926 -0.000331575205188894
2012-02-17 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0148295447099 8.03 0 0.0222568860878467 -0.0202577566370619 -0.0137686532445862 -0.00019254273496605
2012-02-20 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0151329538157 8.03 0 0.0220975800947287 -0.0202057982680719 -0.0135446960336307 -3.99532629935528e-05
2012-02-21 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.01543029473939 8.03 0 0.0219378311985303 -0.0201470330116758 -0.0133156167885691 0.000112868686360734
2012-02-22 8.03 2 0 0 0 0 0 0 0 0 0 0 1.46 100 NA 0 0.25 NA 1 NA 0 1.09109265233709 2.22044604925031e-14 NA 8.0157216888446 8.03 0 0.0217776506102934 -0.0200815548474802 -0.0130815823551291 0.000252870547761574
