Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92186298764274 9.95 0 -0.0357668587184601 -0.0353119539671121 -0.0242068607637242 0.00156257658268366
2011-12-19 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92242572788988 9.95 0 -0.0353319110259238 -0.0346532712893093 -0.0232142439834844 0.00207634467473783
2011-12-20 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92297721333209 9.95 0 -0.0348994064612822 -0.0339979941774891 -0.022232227976704 0.00239419318098388
2011-12-21 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92351766906544 9.95 0 -0.0344693442983899 -0.033346174928393 -0.0212610101375055 0.00249588515876242
2011-12-22 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92404731568413 9.95 0 -0.0340417237004855 -0.0326978652764329 -0.0203007828094521 0.00238003401704923
2011-12-23 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92456636937045 9.95 0 -0.0336165437208495 -0.0320531163855646 -0.0193517332337261 0.00206358519779881
2011-12-26 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92507504198304 9.95 0 -0.033193803303468 -0.0314119788413088 -0.0184140434999578 0.00157983298114361
2011-12-27 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92557354114338 9.95 0 -0.0327735012836956 -0.0307745026429269 -0.0174878904996891 0.000975167621708461
2011-12-28 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.92606207032051 9.95 0 -0.0323556363889237 -0.0301407371957354 -0.0165734458824458 0.000304836493020488
2011-12-29 9.95 2 0 0 0 0 0 0 0 0 0 0 1.76 99.9999999999999 NA 0 NA NA 1 NA 0 1.05840379855339 0 NA 9.9265408289141 9.95 0 -0.0319402072392525 -0.0295107313035832 -0.0156708760143913 -0.000371925740294987
