Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.2 1.17 0 0.132932033032594 0.0431739270994247 0.031033914330842 -0.00136464749132201
2011-12-19 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.17 1.17 0 0.131860900697417 0.042796067442732 0.0294320479693897 -0.00158075826940224
2011-12-20 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.2 1.17 0 0.130786712245402 0.0424292281819254 0.0278449433178859 -0.00163028955214531
2011-12-21 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.17 1.17 0 0.129709447305232 0.0420731484013398 0.0262731502780759 -0.0015170914772592
2011-12-22 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.2 1.17 0 0.128629085634119 0.0417275636824879 0.0247172151812303 -0.0012603027302962
2011-12-23 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.17 1.17 0 0.1275456071219 0.0413922062307346 0.023177680278311 -0.000891909651812323
2011-12-26 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.2 1.17 0 0.126458991795139 0.0410668050033034 0.0216550832244445 -0.000453222191304142
2011-12-27 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.17 1.17 0 0.125369219821217 0.0407510858384873 0.0201499565582119 9.39502722546726e-06
2011-12-28 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.2 1.17 0 0.124276271512443 0.040444771585957 0.0186628271763113 0.000449137736589944
2011-12-29 1.17 2 0 0 0 0 0 0 0 0 0 0 0.0899999999999999 33.3333333333332 NA 0 NA NA 0.333333333333332 NA 0 0.849925363296587 -2.22044604925031e-14 NA 1.17 1.17 0 0.123180127330139 0.0401475822380515 0.0171942158041815 0.000823292785514129
