Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.43113240815324 5.53 0 0.405164444358444 0.221748874390592 0.102314494109696 -0.0156797132068249
2011-12-19 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.43310975999017 5.53 0 0.402257840862019 0.216947521597302 0.0957856631868435 -0.0212464775630845
2011-12-20 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.43504756479037 5.53 0 0.39934990130798 0.212160543237775 0.0893173424968485 -0.0247955838037508
2011-12-21 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.43694661349456 5.53 0 0.396440723491981 0.207388549257022 0.082911942356348 -0.0260526302777133
2011-12-22 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.43880768122467 5.53 0 0.393530405754301 0.202632150463154 0.0765718659111194 -0.0249607951842872
2011-12-23 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44063152760018 5.53 0 0.390619046972656 0.197891958310032 0.0702995064445195 -0.0216831255038068
2011-12-26 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44241889704817 5.53 0 0.387706746554757 0.193168584676409 0.0640972446166193 -0.0165805925971723
2011-12-27 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44417051910721 5.53 0 0.384793604430631 0.188462641641733 0.05796744563847 -0.0101693214801495
2011-12-28 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44588710872507 5.53 0 0.381879721044694 0.183774741258768 0.0519124563863911 -0.00306369597911083
2011-12-29 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44756936655056 5.53 0 0.378965197347575 0.179105495323207 0.0459346024616116 0.00408638377338377
2011-12-30 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.44921797921955 5.53 0 0.376050134787697 0.174455515140455 0.0400361852010473 0.0106561863832435
2012-01-04 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45083361963516 5.53 0 0.3731346353026 0.169825411289773 0.0342194786454331 0.0160987074233558
2012-01-05 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45241694724246 5.53 0 0.370218801310021 0.165215793385972 0.0284867264714532 0.0199854736020131
2012-01-06 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45396860829761 5.53 0 0.367302735698712 0.16062726983886 0.0228401388949282 0.0220342049864197
2012-01-09 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45548923613166 5.53 0 0.364386541819014 0.156060447610649 0.0172818895525129 0.0221235037548735
2012-01-10 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45697945140902 5.53 0 0.361470323473167 0.151515931971533 0.0118141123697262 0.0202955128601221
2012-01-11 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45843986238084 5.53 0 0.358554184905369 0.146994326253654 0.0064388984234971 0.0167476593617746
2012-01-12 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.45987106513323 5.53 0 0.355638230791579 0.142496231603686 0.0011582928077174 0.0118144681622321
2012-01-13 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46127364383056 5.53 0 0.352722566229058 0.138022246734251 -0.00402570848941175 0.00594030856886896
2012-01-16 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46264817095395 5.53 0 0.34980729672566 0.133572967674418 -0.00911116168720327 -0.000355946332867507
2012-01-17 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46399520753487 5.53 0 0.346892528188855 0.129148987519507 -0.0140961782842233 -0.00652288324957118
2012-01-18 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46531530338418 5.53 0 0.343978366914505 0.124750896180436 -0.0189789280905226 -0.012022824122615
2012-01-19 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46660899731649 5.53 0 0.341064919575371 0.120379280132872 -0.0237576422108106 -0.0163790376832482
2012-01-20 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46787681737016 5.53 0 0.338152293209366 0.116034722166402 -0.0284306159689387 -0.0192195083592153
2012-01-30 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.46911928102276 5.53 0 0.335240595207556 0.111717801133999 -0.0329962117640337 -0.0203123165032399
2012-01-31 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.4703368954023 5.53 0 0.332329933301892 0.10742909170201 -0.0374528618486452 -0.0195879251128432
2012-02-01 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47153015749426 5.53 0 0.329420415552692 0.103169164100924 -0.0417990710193394 -0.0171449384144233
2012-02-02 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47269955434437 5.53 0 0.326512150335868 0.0989385838771619 -0.0460334192103202 -0.0132381098371726
2012-02-03 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47384556325748 5.53 0 0.323605246329893 0.0947379116461453 -0.0501545639808161 -0.00825007616814855
2012-02-06 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47496865199233 5.53 0 0.320699812502513 0.0905677028468808 -0.0541612428872424 -0.00265077855694895
2012-02-07 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47606927895249 5.53 0 0.317795958097215 0.0864285074983113 -0.0580522757314312 0.00304987145352631
2012-02-08 5.53 2 0 0 0 0 0 0 0 0 0 0 1.01 99.9999999999999 NA 0 NA NA 1 NA 0 1.09655775445111 0 NA 5.47714789337344 5.53 0 0.31489379261943 0.0823208699576743 -0.0618265666765718 0.00835016136188282
