Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2608360152949 17.4 0 -0.0274139447019808 -0.00395273103725868 0.0150761667503656 0.000883734240800571
2011-12-19 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.263619294989 17.4 0 -0.0278037554156652 -0.00395005785943692 0.0158864803462713 0.000452395496403746
2011-12-20 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2663469090892 17.4 0 -0.0281884208039842 -0.00394854898580599 0.0166749463062201 1.69312097280105e-05
2011-12-21 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2690199709075 17.4 0 -0.0285679427889054 -0.00394818395640861 0.017441268828605 -0.000387714079024271
2011-12-22 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2716395714893 17.4 0 -0.0289423236990212 -0.00394894157473047 0.0181851682382188 -0.000731738556757566
2011-12-23 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2742067800595 17.4 0 -0.0293115662679395 -0.00395079993280856 0.0189063810147378 -0.000992416457464618
2011-12-26 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2767226444583 17.4 0 -0.0296756736326134 -0.00395373643640173 0.0196046598138793 -0.00115533434694637
2011-12-27 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2791881915692 17.4 0 -0.0300346493316126 -0.00395772783020165 0.020279773481326 -0.00121488521601698
2011-12-28 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2816044277378 17.4 0 -0.0303884973033441 -0.00396275022307746 0.0209315070594789 -0.0011740338755164
2011-12-29 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.283972339183 17.4 0 -0.0307372218842099 -0.00396877911333915 0.021559661787113 -0.00104342276013103
2011-12-30 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2862928923994 17.4 0 -0.0310808278067154 -0.00397578941400623 0.0221640550920044 -0.000839935885605492
2012-01-04 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2885670345514 17.4 0 -0.0314193201975206 -0.00398375547807106 0.0227445205765742 -0.00058487630323345
2012-01-05 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2907956938603 17.4 0 -0.0317527045754367 -0.00399265112374536 0.0233009079966182 -0.000301935329113157
2012-01-06 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2929797799831 17.4 0 -0.0320809868493752 -0.00400244965967422 0.0238330832331588 -1.51376579551332e-05
2012-01-09 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2951201843835 17.4 0 -0.0324041733162379 -0.004013123910108 0.0243409282574718 0.000253065336576874
2012-01-10 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2972177806958 17.4 0 -0.0327222706587591 -0.00402464624002041 0.0248243410893214 0.000483409515852351
2012-01-11 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.2992734250819 17.4 0 -0.0330352859432974 -0.004036988580157 0.025283235748442 0.000661034179519682
2012-01-12 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3012879565803 17.4 0 -0.0333432266175788 -0.00405012245200709 0.025717542199291 0.000776241787329379
2012-01-13 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3032621974486 17.4 0 -0.0336461005083852 -0.00406401899268216 0.0261272062891051 0.000824788984273184
2012-01-16 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3051969534997 17.4 0 -0.0339439158192016 -0.0040786489796929 0.0265121896792748 0.000807738105505607
2012-01-17 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3070930144297 17.4 0 -0.0342366811278123 -0.00409398285561258 0.0268724697700544 0.000730930474066582
2012-01-18 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3089511541411 17.4 0 -0.034524405383852 -0.00410999075260809 0.0272080396186229 0.000604163658601831
2012-01-19 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3107721310583 17.4 0 -0.034807097906306 -0.00412664251684225 0.0275189078505007 0.00044016456078344
2012-01-20 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3125566884371 17.4 0 -0.035084768380977 -0.00414390773271789 0.0278050985643339 0.000253450635996355
2012-01-30 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3143055546684 17.4 0 -0.0353574268578947 -0.00416175574696531 0.0280666512300312 5.91655677588676e-05
2012-01-31 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.316019443575 17.4 0 -0.0356250837486911 -0.0041801556925587 0.0283036205802762 -0.00012803379468096
2012-02-01 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3176990547035 17.4 0 -0.0358877498239312 -0.00419907651244689 0.0285160764953893 -0.000294973345150051
2012-02-02 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3193450736094 17.4 0 -0.0361454362103997 -0.00421848698309102 0.0287041038815428 -0.000430785998833727
2012-02-03 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3209581721372 17.4 0 -0.0363981543883534 -0.00423835573779918 0.0288678025423161 -0.000527522006473102
2012-02-06 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3225390086945 17.4 0 -0.0366459161887245 -0.00425865128984393 0.0290072870435836 -0.000580516713964307
2012-02-07 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3240882285206 17.4 0 -0.0368887337902972 -0.00427934205535552 0.0291226865717178 -0.000588503258949213
2012-02-08 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3256064639502 17.4 0 -0.0371266197168358 -0.00430039637597757 0.0292141447850973 -0.000553476012627563
2012-02-09 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3270943346712 17.4 0 -0.0373595868341816 -0.00432178254128068 0.0292818196589013 -0.000480329807619917
2012-02-10 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3285524479778 17.4 0 -0.037587648347313 -0.00434346881091585 0.02932588332318 -0.000376317746509258
2012-02-13 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3299813990182 17.4 0 -0.0378108177973702 -0.00436542343650759 0.0293465218941824 -0.000250383809575982
2012-02-14 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3313817710378 17.4 0 -0.0380291090586455 -0.00438761468326554 0.0293439352989289 -0.000112433151246982
2012-02-15 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3327541356171 17.4 0 -0.038242536335543 -0.00441001085132209 0.029318337093009 2.73982719307675e-05
2012-02-16 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3340990529047 17.4 0 -0.0384511141594994 -0.00443258029676752 0.0292699542716059 0.000159421702617735
2012-02-17 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3354170718466 17.4 0 -0.0386548573858838 -0.0044552914523921 0.0291990270737159 0.000274981920373119
2012-02-20 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3367087304097 17.4 0 -0.0388537811908574 -0.0044781128481084 0.029105808779577 0.000366928242867548
2012-02-21 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3379745558015 17.4 0 -0.0390479010682103 -0.00450101313106721 0.0289905655012839 0.000429960621640468
2012-02-22 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3392150646855 17.4 0 -0.0392372328261663 -0.0045239610854364 0.0288535759665938 0.000460851303371701
2012-02-23 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3404307633918 17.4 0 -0.0394217925841622 -0.00454692565185288 0.0286951312959278 0.000458547483636274
2012-02-24 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3416221481239 17.4 0 -0.0396015967696006 -0.00456987594653135 0.0285155347725676 0.000424160953013342
2012-02-27 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3427897051615 17.4 0 -0.039776662114575 -0.00459278128002039 0.0283151016060588 0.000360848994233276
2012-02-28 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3439339110582 17.4 0 -0.0399470056525715 -0.00461561117560905 0.0280941586888437 0.000273589394851559
2012-02-29 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3450552328371 17.4 0 -0.040112644715149 -0.00463833538736758 0.0278530443461329 0.00016885370093167
2012-03-01 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3461541281803 17.4 0 -0.0402735969285946 -0.00466092391781903 0.0275921080790571 5.41879029349879e-05
2012-03-02 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3472310456167 17.4 0 -0.0404298802105529 -0.00468334703523654 0.0273117103011224 -6.22818010063142e-05
2012-03-05 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3482864247044 17.4 0 -0.0405815127666451 -0.00470557529056093 0.0270122220680227 -0.000172390537735989
2012-03-06 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3493206962103 17.4 0 -0.0407285130870574 -0.00472757953393144 0.0266940248008432 -0.000268487148668672
2012-03-07 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3503342822861 17.4 0 -0.0408708999431164 -0.00474933093082397 0.0263575100027329 -0.00034395599688164
2012-03-08 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3513275966404 17.4 0 -0.0410086923838442 -0.0047708009777927 0.0260030789690999 -0.000393667276149312
2012-03-09 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3523010447076 17.4 0 -0.0411419097324988 -0.0047919615178138 0.025631142491402 -0.000414321175379317
2012-03-12 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3532550238134 17.4 0 -0.0412705715830932 -0.00481278475521707 0.0252421205546369 -0.000404661936314277
2012-03-13 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3541899233371 17.4 0 -0.0413946977969055 -0.00483324327021695 0.0248364420286111 -0.000365550527501313
2012-03-14 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3551061248704 17.4 0 -0.041514308498972 -0.00485331003302125 0.0244145443530956 -0.000299896665957977
2012-03-15 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.356004002373 17.4 0 -0.0416294240745616 -0.00487295841753044 0.0239768732169985 -0.000212460194603636
2012-03-16 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3568839223255 17.4 0 -0.041740065165647 -0.00489216221461186 0.0235238822316672 -0.000109537564794149
2012-03-19 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.357746243879 17.4 0 -0.04184625266736 -0.00491089564495439 0.0230560325984706 1.44802230295227e-06
2012-03-20 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3585913190014 17.4 0 -0.0419480077244305 -0.00492913337149847 0.0225737927708081 0.000112432770509763
2012-03-21 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3594194926214 17.4 0 -0.0420453517276269 -0.00494685051143451 0.0220776381107139 0.000215252624490958
2012-03-22 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.360231102769 17.4 0 -0.0421383063101763 -0.00496402264777895 0.0215680505402296 0.000302211715031309
2012-03-23 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3610264807136 17.4 0 -0.0422268933441825 -0.00498062584051429 0.0210455181877318 0.000366646908519286
2012-03-26 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3618059510993 17.4 0 -0.0423111349370382 -0.00499663663729866 0.0205105350294223 0.000403449847271808
2012-03-27 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3625698320773 17.4 0 -0.0423910534278247 -0.00501203208374479 0.0199636005261903 0.000409502932176675
2012-03-28 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3633184354358 17.4 0 -0.0424666713837119 -0.00502678973326365 0.019405219256075 0.0003839850703935
2012-03-29 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3640520667271 17.4 0 -0.0425380115963478 -0.00504088765647381 0.0188359005425691 0.00032850869615908
2012-03-30 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3647710253925 17.4 0 -0.0426050970782512 -0.00505430445017918 0.018256158079013 0.000247062192801017
2012-04-05 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3654756048847 17.4 0 -0.0426679510591934 -0.00506701924591413 0.0176665095493505 0.000145750277446677
2012-04-06 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.366166092787 17.4 0 -0.0427265969825843 -0.00507901171805125 0.017067476245515 3.23464625351377e-05
2012-04-09 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3668427709313 17.4 0 -0.0427810585018515 -0.005090262091485 0.0164595826817453 -8.43072394038913e-05
2012-04-10 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3675059155126 17.4 0 -0.0428313594768226 -0.00510075114887698 0.0158433562061315 -0.000195001265880013
2012-04-11 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3681557972024 17.4 0 -0.0428775239701054 -0.0051104602374803 0.0152193266096976 -0.000290897877836205
2012-04-12 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3687926812583 17.4 0 -0.0429195762434702 -0.00511937127552731 0.0145880257333557 -0.000364244522539359
2012-04-13 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3694168276332 17.4 0 -0.0429575407542329 -0.0051274667582053 0.0139499870730657 -0.000409001875267379
2012-04-16 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3700284910805 17.4 0 -0.0429914421516391 -0.00513472976319518 0.0133057453835468 -0.000421337732052329
2012-04-17 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3706279212589 17.4 0 -0.0430213052732538 -0.00514114395580112 0.0126558362808979 -0.00039995118714975
2012-04-18 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3712153628337 17.4 0 -0.0430471551413536 -0.00514669359366016 0.012000795844497 -0.000346205236785746
2012-04-19 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.371791055577 17.4 0 -0.0430690169593224 -0.00515136353103429 0.0113411602185529 -0.00026405869942403
2012-04-20 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3723552344655 17.4 0 -0.0430869161080532 -0.00515513922269939 0.0106774652136985 -0.000159799903403091
2012-04-23 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3729081297762 17.4 0 -0.0431008781423583 -0.00515800672742017 0.0100102459090099 -4.15956617048074e-05
2012-04-24 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3734499671807 17.4 0 -0.0431109287873803 -0.00515995271103042 0.00934003625486035 8.11193871439464e-05
2012-04-25 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.373980967837 17.4 0 -0.0431170939350149 -0.00516096444910419 0.00866736867700357 0.000198375437657106
2012-04-26 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3745013484803 17.4 0 -0.0431193996403403 -0.00516102982924682 0.00799277368231044 0.00030047153602597
2012-04-27 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3750113215107 17.4 0 -0.0431178721180538 -0.00516013735298504 0.00731677946655429 0.000378788611762992
2012-05-02 17.4 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 0 NA 17.3755110950805 17.4 0 -0.0431125377389212 -0.00515827613727682 0.00663991152468846 0.000426541358506061
