Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2767424897576 49.4 0 -0.159963813175062 -0.112348963278629 -0.0381418984150956 0.00343467964100119
2011-12-19 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2792076399625 49.4 0 -0.158456768822272 -0.109890104983948 -0.035724214981748 0.00472886829177011
2011-12-20 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2816234871632 49.4 0 -0.156954928648871 -0.107447249679518 -0.0333537393391068 0.00555523367656363
2011-12-21 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.28399101742 49.4 0 -0.155458317525073 -0.105020575338228 -0.0310303852084073 0.00586346477651611
2011-12-22 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2863111970716 49.4 0 -0.153966959956579 -0.102610256515133 -0.0287540554086529 0.00564909921730417
2011-12-23 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2885849731301 49.4 0 -0.152480880086667 -0.100216464357084 -0.0265246420065171 0.00495191088767832
2011-12-26 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2908132736675 49.4 0 -0.151000101698275 -0.0978393666127708 -0.0243420264637062 0.00385088852845161
2011-12-27 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2929970081942 49.4 0 -0.149524648216083 -0.0954791276431441 -0.0222060797818613 0.00245628384621899
2011-12-28 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2951370680303 49.4 0 -0.148054542708574 -0.0931359084322083 -0.0201166626450529 0.000899381909588381
2011-12-29 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2972343266697 49.4 0 -0.146589807890099 -0.0908098665981525 -0.0180736255599592 -0.000679195583501713
2011-12-30 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.2992896401363 49.4 0 -0.145130466122926 -0.0885011564047953 -0.0160768089937799 -0.00214171492647486
2012-01-04 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3013038473336 49.4 0 -0.143676539419278 -0.0862099287733282 -0.0141260435099819 -0.00336506759736466
2012-01-05 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3032777703869 49.4 0 -0.142228049443368 -0.0839363312943329 -0.012221149901948 -0.00425100852433458
2012-01-06 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3052122149792 49.4 0 -0.140785017513419 -0.081680508240046 -0.0103619393245964 -0.00473398914877921
2012-01-09 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3071079706796 49.4 0 -0.139347464603679 -0.0794426005768658 -0.00854821342408396 -0.00478589162267484
2012-01-10 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.308965811266 49.4 0 -0.137915411346419 -0.0772227459780619 -0.00677976446564221 -0.00441727471158693
2012-01-11 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3107864950407 49.4 0 -0.136488878033934 -0.0750210788366896 -0.00505637545965509 -0.00367510057828779
2012-01-12 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3125707651399 49.4 0 -0.135067884620518 -0.072837730278676 -0.00337782028606037 -0.00263727320858287
2012-01-13 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3143193498371 49.4 0 -0.133652450724442 -0.0706728281760665 -0.00174386381715363 -0.00140463060448193
2012-01-16 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3160329628403 49.4 0 -0.132242595629914 -0.0685264971604131 -0.000154262038901898 -9.12519590809957e-05
2012-01-17 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3177123035835 49.4 0 -0.130838338289034 -0.06639885863629 0.00139123782916384 0.00118595394783227
2012-01-18 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3193580575118 49.4 0 -0.129439697323733 -0.0642900307949246 0.00289289721536345 0.0023174210128909
2012-01-19 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3209708963616 49.4 0 -0.128046691027707 -0.0622001286279135 0.00435098607851936 0.0032100024263273
2012-01-20 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3225514784344 49.4 0 -0.126659337368336 -0.0601292639410329 0.00576578279172901 0.00379426127561588
2012-01-30 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3241004488657 49.4 0 -0.125277653988594 -0.0580775453681084 0.00713757402718773 0.00402948425188576
2012-01-31 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3256184398884 49.4 0 -0.123901658208951 -0.0560450783849418 0.00846665464194807 0.00390613594244016
2012-02-01 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3271060710906 49.4 0 -0.122531367029261 -0.0540319653232828 0.00975332756453096 0.00344567283658748
2012-02-02 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3285639496688 49.4 0 -0.121166797130634 -0.0520383053848259 0.0109979036822927 0.00269782393727924
2012-02-03 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3299926706754 49.4 0 -0.119807964877312 -0.0500641946552287 0.0122007017294483 0.00173561679765788
2012-02-06 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3313928172619 49.4 0 -0.118454886318517 -0.0481097261181382 0.0133620481756602 0.000648582810490517
2012-02-07 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3327649609167 49.4 0 -0.117107577190298 -0.046174989669213 0.0144822771150914 -0.000465290319537015
2012-02-08 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3341096616983 49.4 0 -0.115766052917366 -0.0442600721301303 0.0155617301558322 -0.00150818670215358
2012-02-09 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3354274684644 49.4 0 -0.114430328614914 -0.0423650572625749 0.016600756309602 -0.00239093761201259
2012-02-10 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3367189190951 49.4 0 -0.113100419090428 -0.0404900257821952 0.0175997118816316 -0.00304060734745981
2012-02-13 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3379845407132 49.4 0 -0.111776338845488 -0.0386350553725161 0.0185589603606302 -0.00340651858473207
2012-02-14 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3392248498989 49.4 0 -0.110458102077555 -0.0368002206988103 0.0194788723087451 -0.00346418366689427
2012-02-15 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3404403529009 49.4 0 -0.109145722681748 -0.0349855934219074 0.0203598252514099 -0.00321680817092629
2012-02-16 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3416315458429 49.4 0 -0.107839214252611 -0.0331912422119451 0.021202203567007 -0.00269427382520826
2012-02-17 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3427989149261 49.4 0 -0.106538590085866 -0.0314172327620517 0.0220063983762269 -0.00194975881443415
2012-02-20 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3439429366275 49.4 0 -0.105243863180154 -0.0296636278019502 0.0227728074310534 -0.00105438141351488
2012-02-21 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.345064077895 49.4 0 -0.103955046238769 -0.0279304871114827 0.0235018350032679 -9.0428918022134e-05
2012-02-22 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3461627963371 49.4 0 -0.102672151671378 -0.0262178675340516 0.0241938917723923 0.000856160555452679
2012-02-23 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3472395404103 49.4 0 -0.101395191595727 -0.0245258229899648 0.0248493947129758 0.00170336622591094
2012-02-24 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3482947496021 49.4 0 -0.100124177839339 -0.0228544044896886 0.0254687669811373 0.00238004555420579
2012-02-27 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3493288546101 49.4 0 -0.0988591219412003 -0.0212036601470005 0.0260524378002809 0.00283172548230359
2012-02-28 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3503422775179 49.4 0 -0.0976000351534316 -0.0195736351920379 0.0266008423458897 0.00302479307340864
2012-02-29 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3513354319675 49.4 0 -0.0963469284429546 -0.0179643719842408 0.0271144216293289 0.00294880567433387
2012-03-01 49.4 2 0 0 0 0 0 0 0 0 0 0 9.26 100 NA 0 NA NA 1 NA 0 1.12864425550967 4.44089209850063e-14 NA 49.3523087233282 49.4 0 -0.095099812493141 -0.0163759100251859 0.0275936223805542 0.00261679794051117
