Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -2.43055555555556e-16 NA 3.10694691200262 3.37 0 1.33293650259461 1.22536163665595 0.725787336965236 -0.0386355725114185
2011-12-19 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.94444444444445e-16 NA 3.11220797376256 3.37 0 1.32858812852138 1.20931955677648 0.691595158040907 -0.0591146753893317
2011-12-20 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.55555555555556e-16 NA 3.11736381428731 3.37 0 1.32422780648135 1.1931051849852 0.656693025412546 -0.0732549175346864
2011-12-21 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.24444444444445e-16 NA 3.12241653800157 3.37 0 1.31985550262326 1.17671669268986 0.621057485362027 -0.0799608475240146
2011-12-22 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -9.95555555555557e-17 NA 3.12736820724153 3.37 0 1.31547118345554 1.16015223056251 0.584663997686307 -0.0789690561613772
2011-12-23 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -7.96444444444445e-17 NA 3.1322208430967 3.37 0 1.3110748158536 1.14340992952257 0.547486909351361 -0.0708563429012867
2011-12-26 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -6.37155555555556e-17 NA 3.13697642623477 3.37 0 1.30666636706722 1.12648790187638 0.509499437892436 -0.056910206266082
2011-12-27 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -5.09724444444445e-17 NA 3.14163689771007 3.37 0 1.30224580472795 1.10938424262997 0.470673668464088 -0.03890091487884
2011-12-28 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -4.07779555555556e-17 NA 3.14620415975587 3.37 0 1.29781309685655 1.09209703099272 0.430980569639419 -0.0188173539300516
2011-12-29 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -3.26223644444445e-17 NA 3.15068007656076 3.37 0 1.29336821187052 1.07462433209184 0.390390034608636 0.00137547926695358
2011-12-30 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -2.60978915555556e-17 NA 3.15506647502954 3.37 0 1.28891111859164 1.05696419891907 0.348870956438388 0.0199220924246861
2012-01-04 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -2.08783132444445e-17 NA 3.15936514552895 3.37 0 1.28444178625355 1.03911467453349 0.306391348662632 0.0353956774617559
2012-01-05 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.67026505955556e-17 NA 3.16357784261837 3.37 0 1.27996018450943 1.02107379454642 0.262918525860875 0.0467593031916931
2012-01-06 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.33621204764445e-17 NA 3.167706285766 3.37 0 1.27546628343965 1.00283958991678 0.218419363268834 0.0533851109936279
2012-01-09 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -1.06896963811556e-17 NA 3.17175216005068 3.37 0 1.27096005355952 0.984410090088431 0.172860660152407 0.0550470694278131
2012-01-10 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -8.55175710492446e-18 NA 3.17571711684967 3.37 0 1.2664414658271 0.965783326503475 0.126209639026461 0.0518983077532846
2012-01-11 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -6.84140568393957e-18 NA 3.17960277451268 3.37 0 1.26191049165099 0.946957336529252 0.0784346222740246 0.044438426174592
2012-01-12 3.37 2 0 0 0 0 0 0 0 0 0 0 0.63 100 NA 0 NA NA 1 NA 0 1.12526090206203 -5.47312454715165e-18 NA 3.18341071902242 3.37 0 1.25736710289819 0.927930167839971 0.0295059398732562 0.0334712083005839
