Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22391827147254e-14 NA 4.83329894660984 4.95 0 0.434990417018587 0.168549999126287 0.0128082736840174 -0.00531477942700143
2011-12-19 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22322382702809e-14 NA 4.83563296767765 4.95 0 0.432509145339858 0.162632628113699 0.00616138835482127 -0.00967558482594022
2011-12-20 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22266827147254e-14 NA 4.83792030832409 4.95 0 0.430029971766149 0.156748430136965 -0.00037182262871438 -0.0130328693670638
2011-12-21 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22222382702809e-14 NA 4.84016190215761 4.95 0 0.427552971971533 0.150898809429627 -0.00678838631013812 -0.0151316301788582
2011-12-22 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22186827147254e-14 NA 4.84235866411446 4.95 0 0.425078221113979 0.145085175124744 -0.0130853829693733 -0.0158363858165489
2011-12-23 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22158382702809e-14 NA 4.84451149083217 4.95 0 0.422605793815768 0.139308940233679 -0.0192599508159437 -0.0151401685885888
2011-12-26 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22135627147254e-14 NA 4.84662126101553 4.95 0 0.420135764143895 0.133571520583503 -0.0253092906958459 -0.0131605523590215
2011-12-27 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22117422702809e-14 NA 4.84868883579522 4.95 0 0.417668205590452 0.127874333713604 -0.031230670799435 -0.0101234671452564
2011-12-28 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22102859147254e-14 NA 4.85071505907931 4.95 0 0.415203191052999 0.122218797732287 -0.037021431357281 -0.00633723759025862
2011-12-29 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22091208302809e-14 NA 4.85270075789773 4.95 0 0.412740792814946 0.116606330134285 -0.0426789893104966 -0.00216042263666449
2011-12-30 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22081887627254e-14 NA 4.85464674273977 4.95 0 0.410281082525945 0.111038346580271 -0.0482008429416789 0.00203257759205711
2012-01-04 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22074431086809e-14 NA 4.85655380788498 4.95 0 0.407824131182301 0.105516259639671 -0.0535845764522744 0.00588450429021048
2012-01-05 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22068465854454e-14 NA 4.85842273172728 4.95 0 0.405370009107418 0.100041477498203 -0.0588278644719267 0.00908397311310938
2012-01-06 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22063693668569e-14 NA 4.86025427709273 4.95 0 0.402918785932282 0.0946154026318056 -0.0639284764851444 0.0113881067927388
2012-01-09 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22059875919862e-14 NA 4.86204919155088 4.95 0 0.400470530576001 0.0892394304487703 -0.0688842811605015 0.0126381307623644
2012-01-10 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22056821720896e-14 NA 4.86380820771986 4.95 0 0.398025311226403 0.0839149479020753 -0.073693250567493 0.0127676889472497
2012-01-11 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22054378361723e-14 NA 4.86553204356546 4.95 0 0.395583195320703 0.0786433320741344 -0.0783534642662023 0.011804076750568
2012-01-12 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22052423674384e-14 NA 4.86722140269415 4.95 0 0.393144249526258 0.0734259487363262 -0.0828631132549609 0.00986282832517826
2012-01-13 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22050859924514e-14 NA 4.86887697464027 4.95 0 0.390708539721409 0.0682641508858719 -0.0872205037613896 0.00713623400810315
2012-01-16 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22049608924617e-14 NA 4.87049943514746 4.95 0 0.388276130976426 0.0631592772628131 -0.0914240608623909 0.00387650528246408
2012-01-17 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.220486081247e-14 NA 4.87208944644452 4.95 0 0.385847087534573 0.0581126508499925 -0.0954723319190218 0.000374527498553157
2012-01-18 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22047807484766e-14 NA 4.87364765751563 4.95 0 0.383421472793283 0.0531255773591421 -0.0993639898125354 -0.00306452419219494
2012-01-19 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22047166972819e-14 NA 4.87517470436531 4.95 0 0.380999349285478 0.0481993437063326 -0.10309783596838 -0.00614701317622535
2012-01-20 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22046654563262e-14 NA 4.87667121027801 4.95 0 0.378580778661034 0.0433352164801781 -0.106672803155489 -0.00861601580803861
2012-01-30 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22046244635616e-14 NA 4.87813778607245 4.95 0 0.376165821668397 0.0385344404063674 -0.110087958048873 -0.0102734875831076
2012-01-31 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045916693499e-14 NA 4.879575030351 4.95 0 0.373754538136365 0.0337982368121985 -0.113342503544199 -0.0109971028377351
2012-02-01 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045654339805e-14 NA 4.88098352974398 4.95 0 0.371346986956053 0.0291278020949368 -0.116435780813887 -0.010749870297426
2012-02-02 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045444456851e-14 NA 4.8823638591491 4.95 0 0.368943226063039 0.0245243061979048 -0.119367271095121 -0.00958142307424215
2012-02-03 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045276550487e-14 NA 4.88371658196612 4.95 0 0.366543312419718 0.0199888910983326 -0.122136597201108 -0.00762092619486188
2012-02-06 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045142225396e-14 NA 4.88504225032679 4.95 0 0.364147301997856 0.0155226693110511 -0.12474352474796 -0.00506262157581649
2012-02-07 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22045034765323e-14 NA 4.88634140532026 4.95 0 0.36175524976137 0.0111267224121809 -0.127187963090627 -0.00214590686544125
2012-02-08 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22044948797265e-14 NA 4.88761457721385 4.95 0 0.35936720964934 0.00680209958702682 -0.129469965962477 0.000867648317141256
2012-02-09 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22044880022818e-14 NA 4.88886228566957 4.95 0 0.356983234559261 0.00254981620638151 -0.131589731814273 0.00371786149577424
2012-02-10 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22044825003261e-14 NA 4.89008503995618 4.95 0 0.354603376330552 -0.00162914756451626 -0.133547603849546 0.00616786170741701
2012-02-13 4.95 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -2.22044780987615e-14 NA 4.89128333915706 4.95 0 0.352227685728319 -0.00573384812018007 -0.135344069754612 0.00802266982533495
