Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.32633441444182 8.63 0 1.10644512899537 0.945188455190204 0.715426412122024 -0.087117099094383
2011-12-19 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.33240772615299 8.63 0 1.10215963418099 0.933430505221672 0.693645294061784 -0.122493703393255
2011-12-20 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.33835957162993 8.63 0 1.09785728596132 0.921581309531644 0.671584958678141 -0.145937375029043
2011-12-21 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.34419238019733 8.63 0 1.09353806126897 0.909640739652297 0.649243499491289 -0.155003926500505
2011-12-22 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.34990853259338 8.63 0 1.08920193725683 0.897608684015608 0.626619118955693 -0.149064079091018
2011-12-23 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.35551036194151 8.63 0 1.08484889130515 0.885485048988086 0.60371014440041 -0.129416031943649
2011-12-26 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.36100015470268 8.63 0 1.0804789010287 0.873269759955892 0.580515045599107 -0.0989513173114389
2011-12-27 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.36638015160863 8.63 0 1.07609194428414 0.860962762462528 0.557032454121241 -0.0615201155052381
2011-12-28 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.37165254857645 8.63 0 1.07168799917752 0.848564023401297 0.533261184628068 -0.0212400948982157
2011-12-29 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.37681949760493 8.63 0 1.06726704407208 0.836073532264796 0.509200258289989 0.0180538467968669
2011-12-30 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.38188310765283 8.63 0 1.06282905759605 0.823491302453796 0.484848928514971 0.053141256828761
2012-01-04 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.38684544549977 8.63 0 1.05837401865079 0.810817372647888 0.460206709191341 0.0815527482543374
2012-01-05 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.39170853658978 8.63 0 1.05390190641903 0.798051808240357 0.435273405661961 0.101579638869165
2012-01-06 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.39647436585798 8.63 0 1.04941270037338 0.78519470283977 0.410049148660305 0.112224050734612
2012-01-09 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.40114487854082 8.63 0 1.04490638028494 0.772246179840837 0.384534431452042 0.11313678032863
2012-01-10 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.40572198097001 8.63 0 1.0403829262322 0.759206394067131 0.358730150437921 0.104568204109175
2012-01-11 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.4102075413506 8.63 0 1.03584231861013 0.746075533488281 0.332637649484421 0.0873398894535908
2012-01-12 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.41460339052359 8.63 0 1.03128453813942 0.732853821014293 0.306258768257231 0.0628312438877936
2012-01-13 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.41891132271312 8.63 0 1.02670956587605 0.71954151636965 0.279595894838195 0.0329643999493721
2012-01-16 8.63 2 0 0 0 0 0 0 0 0 0 0 1.6 100 NA 0 NA NA 1 NA 0 1.11494634319004 2.22044604925031e-14 NA 8.42313309625886 8.63 0 1.02211738322095 0.706138918049878 0.252652022907873 0.000160669769267319
