Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.18581246206508 9.41 0 0.722873936718016 0.486941374861913 0.327846457776828 -0.020479633590198
2011-12-19 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.19029621282378 9.41 0 0.719640339847127 0.477922180379843 0.313396398056072 -0.0347072566237476
2011-12-20 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.1946902885673 9.41 0 0.716400011144509 0.468886111694322 0.298906799594968 -0.0454825247544286
2011-12-21 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.19899648279596 9.41 0 0.713152998237368 0.459834388912083 0.284382181016889 -0.051906852456546
2011-12-22 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.20321655314004 9.41 0 0.709899349384773 0.450768262447522 0.269827251773533 -0.0535189432900838
2011-12-23 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.20735222207724 9.41 0 0.706639113480872 0.441689013337533 0.255246916319436 -0.0503430091327965
2011-12-26 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.21140517763569 9.41 0 0.703372340058046 0.432597953535445 0.240646278096355 -0.0428710412626425
2011-12-27 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.21537707408298 9.41 0 0.700099079290005 0.423496426182275 0.226030643293732 -0.0319836059700518
2011-12-28 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.21926953260132 9.41 0 0.696819381994815 0.414385805853442 0.211405524348983 -0.0188278296601148
2011-12-29 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.22308414194929 9.41 0 0.693533299637876 0.405267498779021 0.196776643148968 -0.00467812480653906
2011-12-30 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.22682245911031 9.41 0 0.690240884334815 0.396142943035564 0.182149933891481 0.00919656529135571
2012-01-04 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.2304860099281 9.41 0 0.686942188854324 0.387013608707427 0.167531545563171 0.0216429284789577
2012-01-05 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.23407628972954 9.41 0 0.683637266620911 0.377880998015544 0.152927843987924 0.0317040507924293
2012-01-06 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.23759476393495 9.41 0 0.680326171717591 0.368746645411453 0.138345413397354 0.0386713815852757
2012-01-09 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.24104286865625 9.41 0 0.677008958888491 0.359612117634424 0.123791057472892 0.0421125538991154
2012-01-10 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.24442201128312 9.41 0 0.673685683541373 0.350479013729403 0.109271799806814 0.0418806637820262
2012-01-11 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.24773357105746 9.41 0 0.670356401750081 0.341348965023531 0.094794883727717 0.0381094503149977
2012-01-12 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.25097889963631 9.41 0 0.667021170256897 0.332223635058891 0.0803677714342497 0.0311966590433577
2012-01-13 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.25415932164359 9.41 0 0.66368004647481 0.323104719479171 0.0659981423795672 0.0217756316682287
2012-01-16 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.25727613521071 9.41 0 0.660333088489694 0.31399394586787 0.0516938908479183 0.0106735555386872
2012-01-17 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.2603306125065 9.41 0 0.65698035506239 0.304893073535673 0.0374631226641386 -0.00114559182186236
2012-01-18 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.26332400025637 9.41 0 0.653621905630693 0.295803893254644 0.0233141509766726 -0.012654113975143
2012-01-19 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.26625752025124 9.41 0 0.650257800311238 0.286728226936854 0.00925549105502599 -0.0228473565935285
2012-01-20 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.26913236984622 9.41 0 0.64688809990128 0.277667927255119 -0.00470414595645918 -0.0308374790240435
2012-01-30 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.27194972244929 9.41 0 0.643512865880375 0.26862487720351 -0.0185558603851139 -0.0359431455259323
2012-01-31 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.27471072800031 9.41 0 0.640132160411942 0.259600989595384 -0.032290572530989 -0.0377614261238635
2012-02-01 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.2774165134403 9.41 0 0.636746046344724 0.25059820649671 -0.0458990323736748 -0.0362090673893083
2012-02-02 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.2800681831715 9.41 0 0.63335458721412 0.241618498592529 -0.0593718305322168 -0.031525176228631
2012-02-03 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.28266681950807 9.41 0 0.629957847243411 0.232663864484504 -0.072699410520606 -0.0242350006075145
2012-02-06 9.41 2 0 0 0 0 0 0 0 0 0 0 1.68 100 NA 0 NA NA 1 NA 0 1.06930782380678 2.22044604925031e-14 NA 9.2852134831179 9.41 0 0.626555891344859 0.223736329917561 -0.0858720823356363 -0.0150822716239718
