Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.25568722803539 3.39 4.6811112914356e-16 0.0882518789620137 -0.00634851454851115 -0.00909253149430378 -0.00164177411331234
2011-12-19 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.25837348347468 3.39 4.6811112914356e-16 0.0860528235842306 -0.00974732908008846 -0.0126496558901805 -0.0021699491094791
2011-12-20 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.26100601380519 3.39 4.6811112914356e-16 0.0838520103893672 -0.0131371709877042 -0.0161999826817305 -0.00241523942512822
2011-12-21 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.26358589352908 3.39 4.6811112914356e-16 0.0816494394745613 -0.0165180112815619 -0.0197433650480943 -0.00236428033062497
2011-12-22 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.2661141756585 3.39 4.6811112914356e-16 0.0794451104374989 -0.0198898294801986 -0.0232796659748005 -0.00203524009882261
2011-12-23 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.26859189214533 3.39 4.6811112914356e-16 0.0772390223743833 -0.0232526136389621 -0.0268087585008057 -0.00147625914750082
2011-12-26 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.27102005430243 3.39 4.6811112914356e-16 0.0750311738780667 -0.0266063603707893 -0.0303305259528672 -0.000760919264152449
2011-12-27 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.27339965321638 3.39 4.6811112914356e-16 0.0728215630363447 -0.0299510748591956 -0.0338448621664729 1.92571068875491e-05
2011-12-28 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.27573166015205 3.39 4.6811112914356e-16 0.0706101874304281 -0.0332867708633928 -0.037351671692629 0.000764842094181706
2011-12-29 3.39 2 0 0 0 0 0 0 0 0 0 0 0.32 100 NA 0 0.75 NA 1 NA 0 0.595275390287892 0 NA 3.27801702694901 3.39 4.6811112914356e-16 0.0683970441335726 -0.0366134707154784 -0.0408508699897916 0.00138012444714408
