Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.58675473984315 5.71 0 0.516055620188225 0.467487447048906 0.202207180297874 -0.00402786213677686
2011-12-19 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.58921964504628 5.71 0 0.515001438716924 0.460860228031345 0.190395495293374 -0.0184109835977937
2011-12-20 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.59163525214536 5.71 0 0.513937752481176 0.45420663757341 0.178629602327883 -0.0308479554627079
2011-12-21 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.59400254710245 5.71 0 0.512864538998494 0.447527386267015 0.166915567721515 -0.0402598585067404
2011-12-22 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.5963224961604 5.71 0 0.511781776043944 0.440823198841607 0.15525957246976 -0.045857202177511
2011-12-23 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.59859604623719 5.71 0 0.510689441650496 0.434094814290606 0.143667906444529 -0.0472278418230823
2011-12-26 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.60082412531245 5.71 0 0.509587514109404 0.427342985991485 0.132146961868194 -0.0443797921315499
2011-12-27 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.6030076428062 5.71 0 0.508475971970644 0.42056848181903 0.120703226038942 -0.0377292863775918
2011-12-28 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.60514748995008 5.71 0 0.507354794043364 0.413772084251377 0.109343273289394 -0.0280368779391365
2011-12-29 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.60724454015107 5.71 0 0.506223959396395 0.406954590468372 0.0980737561646474 -0.0163058099188085
2011-12-30 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.60929964934805 5.71 0 0.505083447358792 0.400116812441796 0.0869013958107081 -0.00366302116463513
2012-01-04 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.61131365636109 5.71 0 0.503933237520412 0.393259577017012 0.075832971569592 0.00875738166323203
2012-01-05 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.61328738323387 5.71 0 0.502773309732538 0.38638372598556 0.0648753097833155 0.0199138671768802
2012-01-06 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.61522163556919 5.71 0 0.501603644108537 0.379490116148221 0.0540352718154185 0.0289333882300922
2012-01-09 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.61711720285781 5.71 0 0.500424221024571 0.372579619368074 0.043319741305627 0.0351626267526235
2012-01-10 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.61897485880065 5.71 0 0.499235021120335 0.365653122613073 0.0327356106806496 0.0381975053610362
2012-01-11 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.62079536162464 5.71 0 0.498036025299848 0.358711527987622 0.0222897669519042 0.0378951262474125
2012-01-12 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.62257945439215 5.71 0 0.496827214732279 0.351755752752702 0.0119890768391164 0.0343716751965413
2012-01-13 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.6243278653043 5.71 0 0.495608570852825 0.344786729334004 0.00184037126704317 0.0279882354975158
2012-01-16 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.62604130799822 5.71 0 0.494380075363622 0.337805405317609 -0.00814957070889544 0.0193246917394483
2012-01-17 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.62772048183825 5.71 0 0.49314171023471 0.330812743432707 -0.0179740384838258 0.00914062277619965
2012-01-18 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.62936607220149 5.71 0 0.491893457705035 0.323809721520845 -0.0276264069187995 -0.00167817703917361
2012-01-19 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63097875075746 5.71 0 0.490635300283501 0.316797332491234 -0.0371001537095552 -0.012187757956112
2012-01-20 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63255917574231 5.71 0 0.489367220750067 0.309776584261619 -0.0463888770200982 -0.0214662023014378
2012-01-30 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63410799222746 5.71 0 0.488089202156888 0.302748499684218 -0.0554863132853454 -0.0286997260470669
2012-01-31 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63562583238291 5.71 0 0.486801227829506 0.295714116456269 -0.0643863550805515 -0.0332647056306092
2012-02-01 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63711331573526 5.71 0 0.485503281368086 0.28867448701472 -0.0730830689495767 -0.034793419020585
2012-02-02 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63857104942055 5.71 0 0.484195346648699 0.281630678414588 -0.0815707130793768 -0.0332120650802885
2012-02-03 5.71 2 0 0 0 0 0 0 0 0 0 0 1.02 100 NA 0 NA NA 1 NA 0 1.06997307000414 -6.66133814775094e-14 NA 5.63999962843214 5.71 0 0.482877407824657 0.274583772190571 -0.089843754704533 -0.0287438692583368
