Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.462052635617 6.64 9.3622225828712e-16 0.403478859803538 0.340761386754336 0.299425037048614 -0.0213410584400886
2011-12-19 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.46561158290466 6.64 9.3622225828712e-16 0.402756106841003 0.336927216630362 0.292641185843777 -0.0360872144114497
2011-12-20 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.46909935124657 6.64 9.3622225828712e-16 0.402025040612791 0.333091964032058 0.285831866310014 -0.0472618542144836
2011-12-21 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.47251736422164 6.64 9.3622225828712e-16 0.401285623048008 0.329256055506803 0.278999048854913 -0.0539249431346736
2011-12-22 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.47586701693721 6.64 9.3622225828712e-16 0.400537816339589 0.325419913400247 0.27214476864185 -0.055590363421915
2011-12-23 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.47914967659846 6.64 9.3622225828712e-16 0.39978158294529 0.321583955639934 0.265271126096116 -0.0522788374647853
2011-12-26 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.48236668306649 6.64 9.3622225828712e-16 0.399016885588674 0.317748595522163 0.258380287291327 -0.0445010549576554
2011-12-27 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.48551934940516 6.64 9.3622225828712e-16 0.398243687260128 0.313914241502475 0.251474484205776 -0.0331750417015129
2011-12-28 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.48860896241706 6.64 9.3622225828712e-16 0.39746195121787 0.310081296990182 0.244556014838022 -0.0194974911900907
2011-12-29 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.49163678316872 6.64 9.3622225828712e-16 0.396671640988974 0.306250160147334 0.237627243170836 -0.00479662138651382
2011-12-30 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.49460404750534 6.64 9.3622225828712e-16 0.395872720370406 0.302421223692551 0.230690598972351 0.0096076521423718
2012-01-04 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.49751196655524 6.64 9.3622225828712e-16 0.395065153430065 0.298594874710122 0.223748577423161 0.0225188870028536
2012-01-05 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.50036172722413 6.64 9.3622225828712e-16 0.394248904507844 0.294771494464782 0.216803738558007 0.0329475178744858
2012-01-06 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.50315449267965 6.64 9.3622225828712e-16 0.393423938216691 0.290951458222567 0.209858706510663 0.0401634882630844
2012-01-09 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.50589140282606 6.64 9.3622225828712e-16 0.392590219443697 0.28713513507817 0.202916168550706 0.0437234760748468
2012-01-10 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.50857357476954 6.64 9.3622225828712e-16 0.391747713351181 0.283322887789172 0.195978873900994 0.0434790063668409
2012-01-11 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.51120210327415 6.64 9.3622225828712e-16 0.390896385377802 0.279515072617572 0.189049632324912 0.0395703948432422
2012-01-12 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.51377806120866 6.64 9.3622225828712e-16 0.390036201239677 0.275712039178975 0.182131312472786 0.0324090764929736
2012-01-13 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.51630249998449 6.64 9.3622225828712e-16 0.389167126931515 0.271914130299845 0.175226839977341 0.0226484239018803
2012-01-16 6.64 2 0 0 0 0 0 0 0 0 0 0 1.27 100 NA 0 NA NA 1 NA 0 1.15423715480732 -2.22044604925031e-14 NA 6.5187764499848 6.64 9.3622225828712e-16 0.38828912872777 0.268121681883169 0.168339195288604 0.0111413750560581
