Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0579159826658735 -0.0153817339182158 0.0452912614525542 0.00118857511220649
2011-12-19 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0587682477180101 -0.0175062787059297 0.0422479949790345 -0.000598635539227677
2011-12-20 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.059634972079937 -0.0196022405300816 0.0392278849147366 -0.0022745478069317
2011-12-21 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0605160204567458 -0.0216692894341451 0.0362317572259171 -0.00370511298595921
2011-12-22 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0614112561587399 -0.0237070947936123 0.0332604295685592 -0.0047807232974113
2011-12-23 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0623205411353612 -0.0257153255707295 0.0303147108843799 -0.00542411765941575
2011-12-26 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0632437360098431 -0.027693650578852 0.0273954010041839 -0.00559554314431243
2011-12-27 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0641807001145754 -0.0296417387559645 0.0245032902587251 -0.00529491385544645
2011-12-28 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0651312915271376 -0.0315592594469238 0.0216391590971926 -0.00456087938953942
2011-12-29 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0660953671069716 -0.0334458826939192 0.0188037777134284 -0.00346687881361507
2011-12-30 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0670727825326694 -0.0353012795346268 0.0159979056799856 -0.00211443954053614
2012-01-04 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0680633923398359 -0.0371251223075109 0.0132222915900763 -0.00062419575352135
2012-01-05 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0690670499594984 -0.0389170849636876 0.0104776727074852 0.000874668142724855
2012-01-06 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0700836077570283 -0.0406768433847531 0.00776477462448655 0.00225563996007849
2012-01-09 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0711129170715471 -0.0424040757059275 0.00508431092779538 0.00340573551309375
2012-01-10 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0721548282557795 -0.0440984626438804 0.00243698287256722 0.00423495356060122
2012-01-11 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0732091907163216 -0.0457596878285373 -0.000176520935532332 0.00468343068883592
2012-01-12 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0742758529542985 -0.0473874381381787 -0.00275552485020036 0.00472565261872537
2012-01-13 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0753546626063679 -0.0489814040371036 -0.00529936648631213 0.00437141466278956
2012-01-16 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0764454664860482 -0.0505412799151205 -0.00780739701368227 0.00366358779793607
2012-01-17 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0775481106253326 -0.0520667644281074 -0.0102789814427976 0.00267308331428473
2012-01-18 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0786624403165584 -0.0535575608388718 -0.0127134989025187 0.0014916707451037
2012-01-19 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0797883001545046 -0.0550133773575181 -0.0151103429097698 0.00022345779041022
2012-01-20 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0809255340786758 -0.0564339274805454 -0.0174689216312326 -0.00102412496679305
2012-01-30 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0820739854157553 -0.057818930327848 -0.0197886581370124 -0.00214906498718959
2012-01-31 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0832334969221852 -0.0591681109768293 -0.0220689906463143 -0.00306260953705806
2012-02-01 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0844039108268479 -0.0604812007928057 -0.0243093727650734 -0.00369575059350213
2012-02-02 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0855850688738201 -0.0617579377548858 -0.0265092737155392 -0.00400403912810421
2012-02-03 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0867768123651668 -0.0629980667765151 -0.0286681785577502 -0.00397051178949315
2012-02-06 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0879789822037488 -0.0642013400198689 -0.0307855884028605 -0.00360657035344791
2012-02-07 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0891914189360099 -0.0653675172032994 -0.0328610206182333 -0.00295070712198942
2012-02-08 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0904139627947268 -0.0664963659010311 -0.0348940090242065 -0.0020650612468931
2012-02-09 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0916464537416785 -0.0675876618343217 -0.0368841040824363 -0.00102994949908941
2012-02-10 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0928887315102221 -0.068641189153327 -0.0388308730756679 6.3265563657211e-05
2012-02-13 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0941406356477402 -0.0696567407089036 -0.0407339002787909 0.00112036838553442
2012-02-14 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.0954020055579385 -0.0706341183136246 -0.0425927871210018 0.00205274725579552
2012-02-15 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0966726805429644 -0.0715731329912845 -0.0444071523388769 0.00278522633140532
2012-02-16 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.097952499845321 -0.0724736052142243 -0.04617663212014 0.00326243044605978
2012-02-17 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.0992413026895641 -0.0733353651277857 -0.0479008802378688 0.0034530246791773
2012-02-20 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.100538928323738 -0.0741582527612903 -0.0495795681748954 0.00335145850660634
2012-02-21 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.101845216060551 -0.0749421182249219 -0.0512123852380949 0.00297717878412929
2012-02-22 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.103160005318244 -0.0756868218919612 -0.0527990386622704 0.00237159258040376
2012-02-23 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.104483135661157 -0.076392234565821 -0.0543392537032915 0.00159330301739236
2012-02-24 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.105814446839948 -0.0770582376314065 -0.0558327737201563 0.000712271081657168
2012-02-27 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.10715377883146 -0.0776847231903441 -0.0572793602456002 -0.000196436494775964
2012-02-28 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.108500971878214 -0.0782715941796516 -0.0586787930448773 -0.00105874905181003
2012-02-29 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.1098558665275 -0.0788187644734991 -0.0600308701623243 -0.00180713348234995
2012-03-01 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.11121830367007 -0.0793261589677252 -0.0613354079552945 -0.00238532158068916
2012-03-02 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.112588124578385 -0.0797937136468339 -0.0625922411150607 -0.00275207891226115
2012-03-05 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.113965170944426 -0.0802213756332409 -0.0638012226742588 -0.00288391043215297
2012-03-06 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.115349284917046 -0.0806091032185828 -0.0649622240004503 -0.00277657987123681
2012-03-07 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.11674030913883 -0.0809568658769638 -0.0660751347753823 -0.00244528633965946
2012-03-08 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.118138086782487 -0.0812646442600367 -0.0671398629595266 -0.00192334683035589
2012-03-09 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.119542461586711 -0.0815324301739122 -0.0681563347414748 -0.00125931823771441
2012-03-12 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.120953277891555 -0.0817602265378755 -0.0691244944717843 -0.000512664400735163
2012-03-13 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.122370380673241 -0.0819480473250128 -0.0700443045808904 0.000251700097351537
2012-03-14 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.123793615578462 -0.0820959174848286 -0.0709157454806916 0.000969438782454479
2012-03-15 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.125222828958109 -0.0822038728480456 -0.0717388154494526 0.00158270055390874
2012-03-16 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.126657867900444 -0.0822719600137862 -0.0725135304996967 0.00204519190631525
2012-03-19 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.128098580263706 -0.0823002362193979 -0.0732399242287545 0.00232581984745428
2012-03-20 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.129544814708128 -0.0822887691932397 -0.0739180476517097 0.00241054410249941
2012-03-21 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.130996420727375 -0.0822376369907789 -0.0745479690164673 0.00230236915347382
2012-03-22 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.132453248679377 -0.0821469278143998 -0.0751297736007493 0.00201968983380518
2012-03-23 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.133915149816567 -0.0820167398173702 -0.075663563490826 0.001593415848123
2012-03-26 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.135381976315512 -0.081847180892449 -0.0761494573418426 0.00106339924680754
2012-03-27 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.136853581305918 -0.0816383684456671 -0.0765875901196714 0.000474664799364088
2012-03-28 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.138329818899031 -0.0813904291558389 -0.0769781128242091 -0.000126179349181688
2012-03-29 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.139810544215402 -0.0811034987204096 -0.0773211921941451 -0.000694143380445822
2012-03-30 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.141295613412034 -0.0807777215882723 -0.077617010393243 -0.00118861827956662
2012-04-05 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.142784883708898 -0.080413250680228 -0.077865764678237 -0.00157573723413473
2012-04-06 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.144278213414803 -0.0800102470977739 -0.0780676670484967 -0.00183037427760324
2012-04-09 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.145775461952655 -0.0795688798209563 -0.0782229438776838 -0.00193774277883341
2012-04-10 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.147276489884052 -0.0790893253960339 -0.0783318355276504 -0.0018944507257207
2012-04-11 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.148781158933263 -0.0785717676137185 -0.0783945959449132 -0.00170879470636787
2012-04-12 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.14 2.14 0 0.15028933201056 -0.0780163971787947 -0.0784114922400749 -0.0014000808872745
2012-04-13 2.14 2 0 0 0 0 0 0 0 0 0 0 0.35 -42.8571428571427 NA 0 NA NA -0.428571428571428 NA 0 1.79582947014708 -6.66133814775094e-14 NA 2.39 2.14 0 0.151800873234905 -0.0774234113719169 -0.0783828042506292 -0.000996868892676028
