Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.2832893062694 22.62 0 0.592225912719506 0.504227518329873 0.239989498332362 -0.0189012273088758
2011-12-19 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.290023520144 22.62 0 0.589603718165073 0.49628513155599 0.226130636250078 -0.0338923174168424
2011-12-20 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.2966230497411 22.62 0 0.586973710749242 0.488308122419935 0.21228064922189 -0.0454566325600338
2011-12-21 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3030905887463 22.62 0 0.58433592849866 0.480297266249169 0.19844574415671 -0.0526225221432202
2011-12-22 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3094287769714 22.62 0 0.581690409934823 0.472253360635879 0.184632312819262 -0.0548625377365801
2011-12-23 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3156402014319 22.62 0 0.579037194078568 0.46417722584962 0.170846930618929 -0.0521502457364846
2011-12-26 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3217273974033 22.62 0 0.576376320454591 0.456069705248221 0.157096354751416 -0.0449484411779553
2011-12-27 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3276928494552 22.62 0 0.57370782909598 0.447931665686253 0.143387521648818 -0.0341317912820114
2011-12-28 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3335389924661 22.62 0 0.571031760548768 0.439763997920311 0.129727543694182 -0.0208625224840646
2011-12-29 22.62 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 2.22044604925031e-14 NA 22.3392682126168 22.62 0 0.568348155876513 0.43156761701032 0.116123705157543 -0.00644591024119112
