Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.63525844388767 6.71 9.3622225828712e-16 -0.0935659517531353 -0.111600010691664 -0.0419499395131524 0.00596208372692719
2011-12-19 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.63675327500992 6.71 9.3622225828712e-16 -0.0927907487005657 -0.109331582501096 -0.0391298678563443 0.00874120972852666
2011-12-20 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.63821820950972 6.71 9.3622225828712e-16 -0.0920210017597629 -0.107073504792908 -0.0363587602135307 0.0107056072716736
2011-12-21 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.63965384531952 6.71 9.3622225828712e-16 -0.0912567296660785 -0.104826072090041 -0.0336368408468173 0.01171283024026
2011-12-22 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64106076841313 6.71 9.3622225828712e-16 -0.0904979509814219 -0.102589575696594 -0.0309643161574844 0.0117018044117094
2011-12-23 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64243955304487 6.71 9.3622225828712e-16 -0.0897446840940062 -0.100364303674581 -0.0283413748875436 0.0106952883470384
2011-12-26 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64379076198397 6.71 9.3622225828712e-16 -0.0889969472180923 -0.09815054082203 -0.0257681883184431 0.00879634206215552
2011-12-27 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64511494674429 6.71 9.3622225828712e-16 -0.0882547583937359 -0.0959485686524431 -0.0232449104669252 0.00617912956061706
2011-12-28 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64641264780941 6.71 9.3622225828712e-16 -0.087518135486532 -0.0937586653755509 -0.0207716782780529 0.00307457064923344
2011-12-29 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64768439485322 6.71 9.3622225828712e-16 -0.0867870961873636 -0.0915811058793421 -0.0183486118154326 -0.000248389032131202
2011-12-30 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.64893070695616 6.71 9.3622225828712e-16 -0.0860616580121478 -0.0894161617133382 -0.0159758144486646 -0.00350478096935003
2012-01-04 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65015209281703 6.71 9.3622225828712e-16 -0.0853418383015834 -0.0872641010730766 -0.013653373038075 -0.00641738057820751
2012-01-05 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65134905096069 6.71 9.3622225828712e-16 -0.0846276542208995 -0.085125188785766 -0.0113813581167697 -0.00874034375532529
2012-01-06 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65252206994148 6.71 9.3622225828712e-16 -0.0839191227596023 -0.0829996862970954 -0.00915982407009053 -0.0102805615254951
2012-01-09 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65367162854265 6.71 9.3622225828712e-16 -0.0832162607312243 -0.0808878516591491 -0.00698880931253076 -0.0109145680548777
2012-01-10 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.6547981959718 6.71 9.3622225828712e-16 -0.0825190847730717 -0.0787899395194047 -0.00486833646219598 -0.0105991485123786
2012-01-11 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65590223205236 6.71 9.3622225828712e-16 -0.0818276113459735 -0.0767062011107842 -0.00279841251289881 -0.00937443255088244
2012-01-12 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65698418741131 6.71 9.3622225828712e-16 -0.0811418567340294 -0.0746368842427181 -0.000779029003972864 -0.00735913757819606
2012-01-13 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65804450366309 6.71 9.3622225828712e-16 -0.0804618370443577 -0.072582233293198 0.00118983781208226 -0.004738579500704
2012-01-16 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.65908361358983 6.71 9.3622225828712e-16 -0.0797875682068441 -0.0705424892017883 0.00310822680402389 -0.00174690725488191
2012-01-17 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66010194131803 6.71 9.3622225828712e-16 -0.0791190659738876 -0.0685178894635559 0.0049761917982456 0.00135441411770976
2012-01-18 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66109990249167 6.71 9.3622225828712e-16 -0.078456345920151 -0.0665086681239018 0.00679380141698371 0.00429962348549617
2012-01-19 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66207790444184 6.71 9.3622225828712e-16 -0.0777994234423043 -0.06451505577425 0.00856113891823784 0.00684104073287717
2012-01-20 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.663036346353 6.71 9.3622225828712e-16 -0.0771483137587743 -0.0625372795485784 0.0102783020372645 0.0087689925290233
2012-01-30 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66397561942594 6.71 9.3622225828712e-16 -0.0765030319094893 -0.0605755631207459 0.011945402829515 0.00992793006965753
2012-01-31 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66489610703742 6.71 9.3622225828712e-16 -0.0758635927556255 -0.0586301267026026 0.0135625675148729 0.0102278387781294
2012-02-01 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66579818489667 6.71 9.3622225828712e-16 -0.0752300109793507 -0.0567011870428427 0.0151299363230495 0.00965043200701587
2012-02-02 6.71 2 0 0 0 0 0 0 0 0 0 0 1.9 100 NA 0 NA NA 1 NA 0 3.10948502891002 -4.44089209850063e-14 NA 6.66668222119874 6.71 9.3622225828712e-16 -0.0746023010835706 -0.054788957426577 0.0166476633399844 0.00824992710671668
