Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.08809490631 14.12 0 -0.204706605652641 -0.143884694250408 -0.0680876267361481 0.00658384251431343
2011-12-19 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0887330081838 14.12 0 -0.202899931813104 -0.140596160614377 -0.0645633321369044 0.0086946115819142
2011-12-20 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0893583480202 14.12 0 -0.201099504409493 -0.137333436873073 -0.0610989313129418 0.00995541681001022
2011-12-21 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0899711810598 14.12 0 -0.199305346836428 -0.134096683717769 -0.0576944080136079 0.0102933440027053
2011-12-22 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0905717574386 14.12 0 -0.197517482094279 -0.130886056914517 -0.0543497330614189 0.00971608106140254
2011-12-23 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0911603222898 14.12 0 -0.19573593279208 -0.127701707357474 -0.0510648645418037 0.00830800210627869
2011-12-26 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.091737115844 14.12 0 -0.193960721150431 -0.124543781121674 -0.0478397479874331 0.00622063257993632
2011-12-27 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0923023735271 14.12 0 -0.192191869004384 -0.121412419515254 -0.0446743165572481 0.00365823843758273
2011-12-28 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0928563260566 14.12 0 -0.190429397806299 -0.118307759131099 -0.0415684912102878 0.000859526158556445
2011-12-29 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0933991995354 14.12 0 -0.188673328628695 -0.115229931897913 -0.0385221808744296 -0.00192327000494519
2011-12-30 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0939312155447 14.12 0 -0.186923682167068 -0.112179065130683 -0.0355352826101529 -0.00444633118068793
2012-01-04 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0944525912338 14.12 0 -0.185180478742704 -0.109155281580539 -0.0326076817694445 -0.00649539319468317
2012-01-05 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0949635394092 14.12 0 -0.183443738305461 -0.106158699483995 -0.0297392521499642 -0.00790414251650384
2012-01-06 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.095464268621 14.12 0 -0.181713480436536 -0.103189432611557 -0.0269298561445854 -0.00856805463758814
2012-01-09 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0959549832486 14.12 0 -0.179989724351215 -0.1002475903157 -0.0241793448864431 -0.00845225778892011
2012-01-10 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0964358835836 14.12 0 -0.178272488901603 -0.0973332775781945 -0.0214875583896075 -0.0075926467923213
2012-01-11 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0969071659119 14.12 0 -0.176561792579326 -0.0944465950567879 -0.0188543256855094 -0.00609026067624852
2012-01-12 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0973690225937 14.12 0 -0.174857653518228 -0.09158763913122 -0.0162794649552565 -0.00409972904641975
2012-01-13 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0978216421418 14.12 0 -0.173160089497039 -0.0887565019485868 -0.0137627836579526 -0.00181323848501869
2012-01-16 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.098265209299 14.12 0 -0.171469117942023 -0.0859532714680284 -0.0113040786551761 0.000558134630881835
2012-01-17 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.098699905113 14.12 0 -0.169784755929611 -0.0831780315047514 -0.00890313633172424 0.00280377172076118
2012-01-18 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0991259070107 14.12 0 -0.168107020189013 -0.0804308617733791 -0.00655973271278176 0.00473173592020748
2012-01-19 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0995433888705 14.12 0 -0.166435927104807 -0.077711837930623 -0.00427363357763699 0.00618439352113098
2012-01-20 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.0999525210931 14.12 0 -0.164771492719514 -0.0750210316172826 -0.00204459457008577 0.00705036152246974
2012-01-30 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1003534706712 14.12 0 -0.163113732736148 -0.0723585104995643 0.000127638694336074 0.00727212020252255
2012-01-31 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1007464012578 14.12 0 -0.161462662520751 -0.069724338309725 0.00224333052415515 0.00684899528012917
2012-02-01 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1011314732327 14.12 0 -0.159818297104907 -0.0671185748860368 0.00430275505065181 0.00583552167332435
2012-02-02 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.101508843768 14.12 0 -0.158180651188233 -0.0645412762120787 0.00630619612930383 0.00433546203084756
2012-02-03 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1018786668926 14.12 0 -0.156549739140853 -0.0619924944553487 0.00825394724383788 0.00249199129676647
2012-02-06 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1022410935548 14.12 0 -0.154925575005858 -0.059472278005209 0.0101463114127407 0.000474793007070762
2012-02-07 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1025962716837 14.12 0 -0.153308172501733 -0.0569806715101575 0.0119836010980938 -0.00153495253923097
2012-02-08 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.10294434625 14.12 0 -0.151697545024781 -0.0545177159144323 0.0137661381165759 -0.00336049204898625
2012-02-09 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.103285459325 14.12 0 -0.150093705651513 -0.052083448493955 0.0154942535524958 -0.00484498014851376
2012-02-10 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1036197501385 14.12 0 -0.148496667141027 -0.0496779028916108 0.0171682876727024 -0.00586511136360768
2012-02-13 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1039473551358 14.12 0 -0.146906441937367 -0.0473011091518756 0.0187885898432287 -0.00634159748077812
2012-02-14 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.104268408033 14.12 0 -0.14532304217186 -0.0449530937547902 0.0203555184475159 -0.00624545710569313
2012-02-15 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1045830398724 14.12 0 -0.143746479665432 -0.0426338796492929 0.0218694408060736 -0.00559951187275454
2012-02-16 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1048913790749 14.12 0 -0.142176765930913 -0.0403434862859053 0.023330733097422 -0.0044750099982056
2012-02-17 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1051935514934 14.12 0 -0.140613912175313 -0.0380819296487891 0.0247397802801697 -0.00298383836903016
2012-02-20 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1054896804636 14.12 0 -0.139057929302086 -0.0358492222871716 0.0260969760160723 -0.00126724931218192
2012-02-21 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1057798868543 14.12 0 -0.137508827913371 -0.0336453733461526 0.0274027225939206 0.000517653132689144
2012-02-22 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1060642891172 14.12 0 -0.135966618312215 -0.0314703885968908 0.0286574308541128 0.00221228452609923
2012-02-23 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1063430033349 14.12 0 -0.134431310504781 -0.0293242704661889 0.0298615201137453 0.00367046226033585
2012-02-24 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1066161432682 14.12 0 -0.132902914202526 -0.0272070180654715 0.0310154180920859 0.00477062466816713
2012-02-27 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1068838204028 14.12 0 -0.131381438824377 -0.0251186272191775 0.0321195608362599 0.00542546898607954
2012-02-28 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1071461439947 14.12 0 -0.12986689349887 -0.0230590904925605 0.0331743926470049 0.00558837875615348
2012-02-29 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1074032211148 14.12 0 -0.12835928706629 -0.0210283972189171 0.0341803660043443 0.00525629585472753
2012-03-01 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1076551566925 14.12 0 -0.12685862808077 -0.0190265335262483 0.0351379414930122 0.00446895492142385
2012-03-02 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1079020535587 14.12 0 -0.125364924812394 -0.0170534823633548 0.0360475877274871 0.00330463637976353
2012-03-05 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1081440124875 14.12 0 -0.123878185249265 -0.01510922352539 0.03690978127648 0.00187281490587043
2012-03-06 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1083811322378 14.12 0 -0.12239841709956 -0.0131937336788663 0.0377250065867147 0.000304289218959752
2012-03-07 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.108613509593 14.12 0 -0.120925627793573 -0.0113069863861339 0.0384937559058538 -0.00126042544251614
2012-03-08 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1088412394012 14.12 0 -0.119459824485733 -0.00944895212933128 0.0392165292044178 -0.00268349294295867
2012-03-09 14.12 2 0 0 0 0 0 0 0 0 0 0 2.44 100 NA 0 NA NA 1 NA 0 1.03151996773564 4.44089209850063e-14 NA 14.1090644146131 14.12 0 -0.118001014056599 -0.00761959833383141 0.0398938340965351 -0.0038418762327308
