Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44783654294507e-14 NA 4.34962470455211 4.45 0 0.793966690516235 0.714959991028204 0.417221193897643 -0.0473242227619175
2011-12-19 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44644765405618e-14 NA 4.35163221046107 4.45 0 0.79099661550634 0.705529293890626 0.399433851944502 -0.0662289366171935
2011-12-20 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44533654294507e-14 NA 4.35359956625185 4.45 0 0.788016068575896 0.696033718339896 0.38154161087154 -0.0786496196731183
2011-12-21 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44444765405618e-14 NA 4.35552757492681 4.45 0 0.785025071901452 0.686473612108806 0.363548993222545 -0.0835087450507042
2011-12-22 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44373654294507e-14 NA 4.35741702342828 4.45 0 0.782023648195537 0.676849344541727 0.345460815149328 -0.0805593432597742
2011-12-23 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44316765405618e-14 NA 4.35926868295971 4.45 0 0.779011820713335 0.66716130739968 0.327282199746947 -0.0704041140243303
2011-12-26 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44271254294507e-14 NA 4.36108330930051 4.45 0 0.775989613259417 0.657409915689616 0.309018590632997 -0.0543746087478409
2011-12-27 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44234845405618e-14 NA 4.3628616431145 4.45 0 0.772957050194545 0.647595608518293 0.290675765725205 -0.0343075955107432
2011-12-28 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44205718294507e-14 NA 4.36460441025221 4.45 0 0.76991415644254 0.637718849971057 0.272259851163123 -0.0122801092127549
2011-12-29 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44182416605618e-14 NA 4.36631232204717 4.45 0 0.766860957497217 0.627780130015863 0.253777335310647 0.00963803714164313
2011-12-30 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44163775254507e-14 NA 4.36798607560623 4.45 0 0.763797479429382 0.617779965432774 0.23523508276604 0.0295772952547084
2012-01-04 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44148862173618e-14 NA 4.3696263540941 4.45 0 0.760723748893904 0.607718900769182 0.21664034829531 0.0459958657755708
2012-01-05 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44136931708907e-14 NA 4.37123382701222 4.45 0 0.757639793136842 0.597597509320917 0.198000790593118 0.0577493325246474
2012-01-06 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44127387337138e-14 NA 4.37280915047198 4.45 0 0.754545640002645 0.587416394139378 0.179324485762799 0.0641185476477384
2012-01-09 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44119751839723e-14 NA 4.37435296746254 4.45 0 0.751441317941412 0.577176189064749 0.160619940393833 0.064811921386543
2012-01-10 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44113643441791e-14 NA 4.37586590811329 4.45 0 0.748326856016219 0.566877559785307 0.141896104100967 0.0599537078997789
2012-01-11 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44108756723445e-14 NA 4.37734858995102 4.45 0 0.745202283910515 0.556521204922756 0.123162381374555 0.0500637059357554
2012-01-12 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44104847348769e-14 NA 4.378801618152 4.45 0 0.742067631935569 0.546107857143439 0.104428642576453 0.0360277712636967
2012-01-13 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44101719849028e-14 NA 4.38022558578896 4.45 0 0.738922931037996 0.535638284295199 0.0857052339002793 0.0190536610681633
2012-01-16 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44099217849235e-14 NA 4.38162107407318 4.45 0 0.735768212807335 0.525113290569574 0.067002986099183 0.000603899172798128
2012-01-17 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.440972162494e-14 NA 4.38298865259172 4.45 0 0.732603509483694 0.514533717688882 0.04833322176872 -0.0177022549935297
2012-01-18 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44095614969533e-14 NA 4.38432887953988 4.45 0 0.729428853965461 0.503900446117682 0.029707760957375 -0.0342208063913256
2012-01-19 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44094333945639e-14 NA 4.38564230194908 4.45 0 0.726244279817063 0.49321439629794 0.0111389248629568 -0.0474424684696753
2012-01-20 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44093309126524e-14 NA 4.3869294559101 4.45 0 0.723049821276803 0.482476529907123 -0.00736046263988421 -0.0561606217285799
2012-01-30 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44092489271231e-14 NA 4.3881908667919 4.45 0 0.719845513264745 0.471687851138292 -0.0257770759071076 -0.0596183961228403
2012-01-31 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44091833386998e-14 NA 4.38942704945606 4.45 0 0.716631391390665 0.460849408001105 -0.044097091142778 -0.0576029696402176
2012-02-01 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44091308679611e-14 NA 4.39063850846694 4.45 0 0.713407491962054 0.44996229364252 -0.0623061930078361 -0.0504641984397398
2012-02-02 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44090888913701e-14 NA 4.3918257382976 4.45 0 0.710173851992188 0.439027647685742 -0.0803895845039813 -0.0390531363968745
2012-02-03 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44090553100973e-14 NA 4.39298922353165 4.45 0 0.706930509208244 0.428046657585855 -0.0983320004149091 -0.0245963008267756
2012-02-06 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44090284450791e-14 NA 4.39412943906102 4.45 0 0.703677502059482 0.417020560000303 -0.116117724580644 -0.00853509423735432
2012-02-07 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44090069530646e-14 NA 4.3952468502798 4.45 0 0.700414869725478 0.405950642172234 -0.133730611268564 0.0076378768277614
2012-02-08 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089897594529e-14 NA 4.3963419132742 4.45 0 0.697142652124407 0.394838243324457 -0.151154110886282 0.0225212103721524
2012-02-09 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089760045636e-14 NA 4.39741507500872 4.45 0 0.693860889921387 0.383684756061536 -0.168371300256173 0.0349132219497488
2012-02-10 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089650006521e-14 NA 4.39846677350854 4.45 0 0.690569624536866 0.372491627777295 -0.18536491763842 0.043884721403386
2012-02-13 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089561975229e-14 NA 4.39949743803837 4.45 0 0.687268898155068 0.361260362064741 -0.202117402648693 0.0488210185167914
2012-02-14 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089491550196e-14 NA 4.4005074892776 4.45 0 0.683958753732482 0.349992520125124 -0.218610941167504 0.0494405154855249
2012-02-15 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089435210169e-14 NA 4.40149733949205 4.45 0 0.680639235006399 0.338689722172572 -0.234827515281059 0.0457963082445076
2012-02-16 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089390138148e-14 NA 4.40246739270221 4.45 0 0.677310386503504 0.327353648830429 -0.250748958228014 0.038264444354221
2012-02-17 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089354080531e-14 NA 4.40341804484817 4.45 0 0.673972253548497 0.315986042515076 -0.266357014253583 0.02751917598382
2012-02-20 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089325234437e-14 NA 4.4043496839512 4.45 0 0.670624882272776 0.304588708802753 -0.281633403192592 0.0144927331032318
2012-02-21 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089302157562e-14 NA 4.40526269027218 4.45 0 0.667268319623146 0.293163517774461 -0.296559889517448 0.0003157187830789
2012-02-22 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089283696063e-14 NA 4.40615743646674 4.45 0 0.663902613370579 0.281712405333746 -0.311118355497225 -0.0137649807004945
2012-02-23 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089268926863e-14 NA 4.4070342877374 4.45 0 0.660527812119005 0.27023737449177 -0.325290878021671 -0.0264903270489489
2012-02-24 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089257111503e-14 NA 4.40789360198265 4.45 0 0.657143965314146 0.258740496613692 -0.339059808551432 -0.0367087739146319
2012-02-27 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089247659215e-14 NA 4.408735729943 4.45 0 0.653751123252379 0.24722391262003 -0.352407855565232 -0.0434977859958086
2012-02-28 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089240097384e-14 NA 4.40956101534414 4.45 0 0.650349337089635 0.235689834136254 -0.365318168789165 -0.046268225057333
2012-02-29 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.4408923404792e-14 NA 4.41036979503726 4.45 0 0.646938658850325 0.22414054458351 -0.377774424415079 -0.0448319722235309
2012-03-01 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089229208348e-14 NA 4.41116239913651 4.45 0 0.643519141436303 0.21257840020296 -0.389760910447468 -0.0394188066294217
2012-03-02 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089225336691e-14 NA 4.41193915115378 4.45 0 0.640090838635842 0.201005831005852 -0.401262611263811 -0.0306392031037752
2012-03-05 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089222239366e-14 NA 4.41270036813071 4.45 0 0.636653805132644 0.189425341641038 -0.412265290434655 -0.0194015428868985
2012-03-06 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089219761505e-14 NA 4.41344636076809 4.45 0 0.63320809651487 0.177839512171317 -0.422755570829035 -0.00680088057822226
2012-03-07 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089217779217e-14 NA 4.41417743355273 4.45 0 0.629753769284183 0.1662509987496 -0.432721011029924 0.00600076121902693
2012-03-08 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089216193386e-14 NA 4.41489388488168 4.45 0 0.626290880864813 0.154662534185546 -0.442150177104379 0.0178854269521675
2012-03-09 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089214924721e-14 NA 4.41559600718404 4.45 0 0.622819489612635 0.143076928393042 -0.451032708814458 0.0278706217973266
2012-03-12 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089213909789e-14 NA 4.41628408704036 4.45 0 0.619339654824258 0.131497068708566 -0.459359379417525 0.0351767269682302
2012-03-13 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089213097844e-14 NA 4.41695840529955 4.45 0 0.615851436746113 0.119925920070239 -0.46712214828729 0.0392710991119292
2012-03-14 4.45 2 0 0 0 0 0 0 0 0 0 0 0.83 100 NA 0 NA NA 1 NA 0 1.12240769610726 4.44089212448288e-14 NA 4.41761923719356 4.45 0 0.612354896583563 0.108366525047149 -0.474314205687949 0.0398920593203609
