Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92383394720869 9.97 0 -0.059960977994908 -0.00163403831172415 0.0312517817184563 0.00133512061412144
2011-12-19 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92475726826451 9.97 0 -0.0590904101509921 -0.000774878468599027 0.0311975225799843 0.00105214964904388
2011-12-20 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92566212289922 9.97 0 -0.0582238609511525 7.14554188290251e-05 0.0311190903677185 0.000671690685927651
2011-12-21 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92654888044124 9.97 0 -0.0573613446024561 0.000904950575455032 0.0310169258073074 0.000232153667535151
2011-12-22 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92741790283241 9.97 0 -0.0565028750682655 0.00172559599607336 0.0308914750745899 -0.000223267058290233
2011-12-23 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92826954477577 9.97 0 -0.0556484660690351 0.0025333824426661 0.0307431896334993 -0.000650757079384778
2011-12-26 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92910415388025 9.97 0 -0.0547981310830932 0.00332830244156757 0.030572526071305 -0.00101001003203516
2011-12-27 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.92992207080265 9.97 0 -0.0539518833474335 0.00411035028050399 0.0303799459311618 -0.00126794278965336
2011-12-28 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93072362938659 9.97 0 -0.0531097358585013 0.00487952200551112 0.0301659155419496 -0.00140166254775353
2011-12-29 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93150915679886 9.97 0 -0.0522717013729816 0.00563581541773051 0.0299309058453727 -0.00140042274939889
2011-12-30 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93227897366289 9.97 0 -0.0514377924085854 0.00637923007008023 0.0296753922203159 -0.00126640199474615
2012-01-04 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93303339418963 9.97 0 -0.0506080212448339 0.00710976726380652 0.0293998543044256 -0.00101425355174234
2012-01-05 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93377272630584 9.97 0 -0.049782399923846 0.00782743004491238 0.0291047758129288 -0.000669491456567251
2012-01-06 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93449727177972 9.97 0 -0.048960940251122 0.00853222320046099 0.0287906443546717 -0.000265889893496407
2012-01-09 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93520732634413 9.97 0 -0.0481436537963278 0.00922415325475789 0.0284579512453833 0.000157836367497222
2012-01-10 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93590317981724 9.97 0 -0.0473305518940745 0.00990322846541014 0.0281071913181772 0.000561740699898117
2012-01-11 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.9365851162209 9.97 0 -0.0465216456447046 0.0105694588192589 0.0277388627312849 0.000908385456414695
2012-01-12 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93725341389648 9.97 0 -0.0457169459150712 0.0112228560281911 0.0273534667730631 0.00116626642723983
2012-01-13 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93790834561855 9.97 0 -0.0449164633393155 0.0118634335248187 0.0269515076642723 0.00131261380559256
2012-01-16 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93855017870618 9.97 0 -0.0441202083196499 0.0124912064580371 0.0265334923576668 0.00133533038678779
2012-01-17 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93917917513206 9.97 0 -0.0433281910271308 0.0131061916884563 0.0260999303349272 0.00123391378568627
2012-01-18 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.93979559162941 9.97 0 -0.042540421402439 0.0137084077836929 0.0256513334009725 0.00101930483679036
2012-01-19 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.94039967979683 9.97 0 -0.0417569091566521 0.014297875013547 0.0251882154756951 0.00071270049309069
2012-01-20 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.94099168620089 9.97 0 -0.0409776637720207 0.0148746153450321 0.0247110923831713 0.000343458846425726
2012-01-30 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.94157185247687 9.97 0 -0.0402026945027392 0.0154386524372825 0.0242204816384013 -5.37000971241319e-05
2012-01-31 9.97 2 0 0 0 0 0 0 0 0 0 0 1.72 100 NA 0 NA NA 1 NA 0 1.02963395024891 0 NA 9.94214041542734 9.97 0 -0.0394320103757182 0.0159900116363199 0.0237169022316461 -0.000441936774927321
