Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.493854882271559 0.25905284052069 0.244067083637473 -0.0227362002332133
2011-12-19 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.490351062251718 0.25308534674513 0.236028371202865 -0.0255535903969727
2011-12-20 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.486831457535596 0.247122598434374 0.227978310063842 -0.025796106674756
2011-12-21 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.483296078346962 0.241164888362913 0.219918432793056 -0.0235187417839604
2011-12-22 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.479744935606112 0.235212503643017 0.211850298512164 -0.0190284799881014
2011-12-23 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.47617804094263 0.229265725708748 0.203775492445442 -0.0128425819471933
2011-12-26 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.472595406708357 0.223324830309888 0.195695625429097 -0.00562493734540548
2011-12-27 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.468997045990577 0.21739008751598 0.187612333375193 0.00188898084225564
2011-12-28 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.465382972625422 0.211461761730617 0.179527276689197 0.00896784130801809
2011-12-29 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.461753201211491 0.205540111716134 0.171442139640232 0.0149522895439035
2011-12-30 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.45810774712369 0.199625390628817 0.163358629683165 0.0193095678285057
2012-01-04 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.454446626527299 0.193717846064738 0.1552784767318 0.0216726789878964
2012-01-05 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.450769856392266 0.187817720116282 0.147203432382501 0.0218639912722026
2012-01-06 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.447077454507723 0.181925249439446 0.139135269087692 0.0199041677588737
2012-01-09 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.443369439496738 0.176040665331927 0.13107577927879 0.0160073677879149
2012-01-10 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.4396458308313 0.170164193822035 0.123026774438243 0.0105632629158344
2012-01-11 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.07 2.07 0 0.435906648847537 0.164296055768405 0.11499008412047 0.00410604038120443
2012-01-12 2.07 2 0 0 0 0 0 0 0 0 0 0 0.32 -75 NA 0 NA NA -0.75 NA 0 1.21647326843691 -4.44089209850063e-14 NA 2.35 2.07 0 0.432151914761172 0.158436466970503 0.10696755492163 -0.00272932015743821
