Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.78552502222639 6.98 9.3622225828712e-16 1.04632064793066 0.930045398708267 0.619595225974608 -0.047815308164086
2011-12-19 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.78941452178186 6.98 9.3622225828712e-16 1.04346318552598 0.919990423884412 0.59781059958383 -0.0805695519749832
2011-12-20 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.79322623134623 6.98 9.3622225828712e-16 1.04058679427153 0.909852540332527 0.575781267545179 -0.105678098554332
2011-12-21 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.7969617067193 6.98 9.3622225828712e-16 1.03769145328901 0.899631611696215 0.553507623326874 -0.120637557988809
2011-12-22 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.80062247258491 6.98 9.3622225828712e-16 1.03477714197033 0.889327509441548 0.530990281042617 -0.124069370094644
2011-12-23 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.80421002313322 6.98 9.3622225828712e-16 1.03184383998775 0.87894011333106 0.508230095933552 -0.115968846963348
2011-12-26 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.80772582267055 6.98 9.3622225828712e-16 1.02889152730418 0.868469311918605 0.485228186418603 -0.0976793638688513
2011-12-27 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.81117130621714 6.98 9.3622225828712e-16 1.02592018418386 0.85791500306592 0.461985957811355 -0.0716006067120598
2011-12-28 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.8145478800928 6.98 9.3622225828712e-16 1.02292979120318 0.847277094481785 0.438505127803769 -0.0407401440529105
2011-12-29 6.98 2 0 0 0 0 0 0 0 0 0 0 1.23 100 NA 0 NA NA 1 NA 0 1.05400186452419 -1.11022302462516e-14 NA 6.81785692249094 6.98 9.3622225828712e-16 1.01992032926192 0.836555504284642 0.414787753818382 -0.00825206090207131
