Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.422529814447973 0.563258479115183 0.164537980918895 -0.0255491054027589
2011-12-19 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.420397272791088 0.557144612026077 0.151553433692688 -0.0323943284329937
2011-12-20 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.418270609561656 0.550991790233709 0.138642243512014 -0.0359762752222718
2011-12-21 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.416150034300649 0.544800012789488 0.125812484023522 -0.0361048514490815
2011-12-22 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.414035758388141 0.538569275877185 0.113072355690982 -0.0329313571074186
2011-12-23 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.411927995039749 0.532299572752108 0.100430172102136 -0.0269186368452872
2011-12-26 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.409826959302455 0.525990893683315 0.0878943449311713 -0.0187762924662774
2011-12-27 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.407732868049735 0.519643225899071 0.0754733675575372 -0.00937231604669408
2011-12-28 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.40564593997602 0.513256553535847 0.0631757973551483 0.00036453031808803
2011-12-29 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.403566395590444 0.506830857591081 0.0510102366805046 0.00953796863915368
2011-12-30 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.401494457209868 0.500366115880028 0.0389853126039399 0.0173629922163244
2012-01-04 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.399430348951154 0.493862302996944 0.0271096554446373 0.0232247147507536
2012-01-05 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.39737429672268 0.487319390280923 0.0153918761873022 0.0267159124725845
2012-01-06 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 2.13 1.89 0 0.39532652821506 0.480737345786685 0.00384054287604008 0.0276545320687311
2012-01-09 1.89 2 0 0 0 0 0 0 0 0 0 0 0.24 -99.9999999999999 NA 0 NA NA -1 NA 0 1.1888666093395 4.44089209850063e-14 NA 1.89 1.89 0 0.393287272891061 0.474116134260645 -0.00753584390110285 0.0260835139426456
