Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 2.77777777777778e-16 NA 9.66498535569994 11.21 1.87244451657424e-15 2.10967759017408 1.93343245931534 1.17648474850723 -0.292268687796332
2011-12-19 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 2.22222222222222e-16 NA 9.69588564858594 11.21 1.87244451657424e-15 2.10546171483714 1.91609766787347 1.1267948181949 -0.426703539629945
2011-12-20 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 1.77777777777778e-16 NA 9.72616793561423 11.21 1.87244451657424e-15 2.10121922568549 1.89851360994507 1.07532383572163 -0.523274998540528
2011-12-21 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 1.42222222222222e-16 NA 9.75584457690194 11.21 1.87244451657424e-15 2.09694999527643 1.88067508589699 1.02194091609348 -0.561608419124777
2011-12-22 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 1.13777777777778e-16 NA 9.7849276853639 11.21 1.87244451657424e-15 2.0926538947568 1.86257669759971 0.966499936411587 -0.533679688270252
2011-12-23 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 9.10222222222223e-17 NA 9.81342913165662 11.21 1.87244451657424e-15 2.08833079384169 1.84421283855982 0.908837286979026 -0.448737451612287
2011-12-26 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 7.28177777777778e-17 NA 9.84136054902349 11.21 1.87244451657424e-15 2.08398056079281 1.82557768346433 0.848769267322043 -0.327588774011037
2011-12-27 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 5.82542222222223e-17 NA 9.86873333804302 11.21 1.87244451657424e-15 2.07960306239645 1.80666517709857 0.786089093227187 -0.192362480125009
2011-12-28 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 4.66033777777778e-17 NA 9.89555867128216 11.21 1.87244451657424e-15 2.07519816394105 1.7874690225968 0.720563501973765 -0.0601358246065757
2011-12-29 11.21 2 0 0 0 0 0 0 0 0 0 0 2 100 NA 0 NA NA 1 NA 0 1.06850472225599 3.72827022222223e-17 NA 9.92184749785652 11.21 1.87244451657424e-15 2.07076572919426 1.76798266898244 0.651928990926224 0.0581879998074766
