Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9337981371647 12 0 -0.0587576296798455 -0.0438757187144145 -0.0170725799013272 0.00510381758451306
2011-12-19 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9351221744214 12 0 -0.0578207302590932 -0.0426425426951655 -0.0166885147641596 0.00578625846892633
2011-12-20 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9364197309329 12 0 -0.0568884546502968 -0.0414153029035949 -0.0163132610141496 0.00593758574355929
2011-12-21 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9376913363143 12 0 -0.0559608228234949 -0.0401941764330744 -0.0159466322215684 0.00556138746647061
2011-12-22 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.938937509588 12 0 -0.0550378544153669 -0.0389793386519148 -0.0155884423410186 0.00470641860093579
2011-12-23 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9401587593962 12 0 -0.0541195687302376 -0.0377709631750913 -0.0152385058025493 0.00346121902115293
2011-12-26 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9413555842083 12 0 -0.0532059847410697 -0.0365692218363294 -0.0148966376017077 0.00194561115613023
2011-12-27 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9425284725241 12 0 -0.0522971210904535 -0.035374284660544 -0.0145626533884853 0.000299759941586597
2011-12-28 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9436779030737 12 0 -0.0513929960915842 -0.0341863198366203 -0.0142363695551295 -0.00132832794851989
2011-12-29 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9448043450122 12 0 -0.05049362772924 -0.0330054936905397 -0.013917603322779 -0.00279583031109931
2011-12-30 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9459082581119 12 0 -0.0495990336607486 -0.031831970658831 -0.0136061728268948 -0.00397753410503698
2012-01-04 12 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA NA 0 NA 0 0 -1.11022302462516e-14 NA 11.9469900929497 12 0 -0.0487092312169466 -0.030665913262351 -0.0133018972014489 -0.00477653914897447
