Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.5859568104803 4.62 0 0.102323530243726 -0.0087076895989151 -0.00127433514541009 0.000209667605718611
2011-12-19 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58663767427069 4.62 0 0.101846114656928 -0.00961897656943145 -0.00209005576372312 -0.000325818938076594
2011-12-20 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58730492078528 4.62 0 0.101367224174671 -0.0105074846995441 -0.00288111035431826 -0.000816592408633632
2011-12-21 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58795882236957 4.62 0 0.100886867373262 -0.0113732532660074 -0.00364760399742936 -0.00122330152142447
2011-12-22 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58859964592218 4.62 0 0.100405052979272 -0.0122163274670293 -0.00438965108525458 -0.00151472778245787
2011-12-23 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58922765300374 4.62 0 0.0999217898695919 -0.0130367583882853 -0.00510737521209226 -0.00167009626222581
2011-12-26 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.58984309994366 4.62 0 0.0994370870714825 -0.013834602966851 -0.00580090905838015 -0.00168048343004035
2011-12-27 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59044623794479 4.62 0 0.0989509537626225 -0.014609923953073 -0.00647039426873164 -0.00154922621740616
2011-12-28 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.5910373131859 4.62 0 0.0984633992711483 -0.0153627898703652 -0.00711598132406976 -0.00129131770055357
2011-12-29 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59161656692218 4.62 0 0.0979744330756884 -0.0160932749729452 -0.00773782940797285 -0.000931858091711479
2011-12-30 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59218423558373 4.62 0 0.0974840648053956 -0.0168014592015178 -0.00833610626734949 -0.000503707964976119
2012-01-04 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59274055087206 4.62 0 0.0969923042399694 -0.0174874281369026 -0.00891098806757018 -4.45563946707139e-05
2012-01-05 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59328573985462 4.62 0 0.096499161309676 -0.018151272951624 -0.00946265924218781 0.000406336741262781
2012-01-06 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59382002505753 4.62 0 0.096004646095359 -0.0187930903594649 -0.00999131233738648 0.000811442495619374
2012-01-09 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59434362455637 4.62 0 0.0955087688284488 -0.0194129825629956 -0.0104971478513094 0.00113803042779637
2012-01-10 4.62 2 0 0 0 0 0 0 0 0 0 0 0.8 100 NA 0 NA NA 1 NA 0 1.03385812768906 2.22044604925031e-14 NA 4.59485675206525 4.62 0 0.0950115398909628 -0.0200110571990899 -0.0109803740684149 0.00136075255058388
