Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58494527457701 3.59 9.3622225828712e-16 -0.0233706949459578 -0.0597096178708714 -0.0450287492396786 0.0010488284878547
2011-12-19 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58504636908547 3.59 9.3622225828712e-16 -0.0233829491348576 -0.0592659882564091 -0.0434306826923279 0.00235933682195411
2011-12-20 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58514544170376 3.59 9.3622225828712e-16 -0.0233943180416099 -0.0588153074991418 -0.0418386503242816 0.00342692752648643
2011-12-21 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58524253286969 3.59 9.3622225828712e-16 -0.0234048016248574 -0.058357697516249 -0.0402533123765989 0.00417119904472774
2011-12-22 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58533768221229 3.59 9.3622225828712e-16 -0.0234143998989524 -0.0578932814209292 -0.038675318975228 0.00454092516490112
2011-12-23 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58543092856805 3.59 9.3622225828712e-16 -0.0234231129339348 -0.057422183481165 -0.0371053099182201 0.00451717216949965
2011-12-26 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58552230999669 3.59 9.3622225828712e-16 -0.0234309408555022 -0.056944529078393 -0.035543914473112 0.00411381168175806
2011-12-27 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58561186379675 3.59 9.3622225828712e-16 -0.0234378838449762 -0.0564604446660941 -0.0339917511843006 0.0033754790393774
2011-12-28 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58569962652082 3.59 9.3622225828712e-16 -0.0234439421392652 -0.0559700577283295 -0.0324494276902225 0.00237318599271497
2011-12-29 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.5857856339904 3.59 9.3622225828712e-16 -0.023449116030821 -0.0554734967382378 -0.0309175405501465 0.00119794525812722
2011-12-30 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58586992131059 3.59 9.3622225828712e-16 -0.0234534058675917 -0.0549708911165128 -0.0293966750803887 -4.70983078357801e-05
2012-01-04 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58595252288438 3.59 9.3622225828712e-16 -0.0234568120529699 -0.0544623711898806 -0.0278874051997484 -0.0012554163316727
2012-01-05 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58603347242669 3.59 9.3622225828712e-16 -0.0234593350457353 -0.0539480681495972 -0.0263902932839741 -0.00232602428940476
2012-01-06 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58611280297816 3.59 9.3622225828712e-16 -0.0234609753599933 -0.0534281140099784 -0.0249058900290404 -0.00317184704645257
2012-01-09 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.5861905469186 3.59 9.3622225828712e-16 -0.0234617335651097 -0.0529026415669849 -0.0234347343230523 -0.00372680617336685
2012-01-10 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58626673598022 3.59 9.3622225828712e-16 -0.0234616102856393 -0.0523717843568789 -0.0219773531265537 -0.00395100974770801
2012-01-11 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58634140126062 3.59 9.3622225828712e-16 -0.0234606062012506 -0.0518356766149681 -0.0205342613610497 -0.00383359336545719
2012-01-12 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58641457323541 3.59 9.3622225828712e-16 -0.0234587220466458 -0.051294453234453 -0.0191059618055249 -0.00339298457873416
2012-01-13 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.5864862817707 3.59 9.3622225828712e-16 -0.0234559586114769 -0.0507482497253957 -0.0176929450007637 -0.00267461483117359
2012-01-16 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58655655613529 3.59 9.3622225828712e-16 -0.0234523167402547 -0.0501972021738271 -0.0162956891612582 -0.00174634968262066
2012-01-17 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58662542501258 3.59 9.3622225828712e-16 -0.0234477973322587 -0.0496414472010021 -0.0149146600945123 -0.000692117170772111
2012-01-18 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58669291651233 3.59 9.3622225828712e-16 -0.023442401341434 -0.0490811219228258 -0.0135503111275272 0.00039563903902029
2012-01-19 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58675905818208 3.59 9.3622225828712e-16 -0.0234361297762922 -0.0485163639094597 -0.0122030830402875 0.00142398274319921
2012-01-20 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58682387701844 3.59 9.3622225828712e-16 -0.0234289836998014 -0.0479473111451256 -0.0108734040060317 0.00230728685897219
2012-01-30 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58688739947807 3.59 9.3622225828712e-16 -0.0234209642292771 -0.0473741019881182 -0.00956168953813008 0.00297417964456237
2012-01-31 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58694965148851 3.59 9.3622225828712e-16 -0.0234120725362623 -0.0467968751310417 -0.00826834244336827 0.00337311053220657
2012-02-01 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58701065845874 3.59 9.3622225828712e-16 -0.0234023098464098 -0.0462157695612864 -0.00699375278145853 0.00347614738689206
2012-02-02 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58707044528957 3.59 9.3622225828712e-16 -0.0233916774393537 -0.0456309245217519 -0.00573829783058444 0.00328076674065536
2012-02-03 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58712903638377 3.59 9.3622225828712e-16 -0.0233801766485819 -0.0450424794718332 -0.00450234205881261 0.00280955116813097
2012-02-06 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.5871864556561 3.59 9.3622225828712e-16 -0.0233678088613001 -0.044450574048682 -0.00328623710118103 0.00210785759059751
2012-02-07 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58724272654298 3.59 9.3622225828712e-16 -0.0233545755182947 -0.0438553480287549 -0.00209032174230828 0.00123966337277448
2012-02-08 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58729787201212 3.59 9.3622225828712e-16 -0.0233404781137867 -0.0432569412896553 -0.000914921904341615 0.000281929887391064
2012-02-09 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58735191457187 3.59 9.3622225828712e-16 -0.0233255181952881 -0.0426554937722869 0.000239649359904837 -0.00068206024444506
2012-02-10 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58740487628044 3.59 9.3622225828712e-16 -0.0233096973634455 -0.0420511454433219 0.0013730918687902 -0.00156984499498436
2012-02-13 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58745677875483 3.59 9.3622225828712e-16 -0.0232930172718875 -0.0414440362580009 0.00248511830880926 -0.00230680274045936
2012-02-14 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58750764317973 3.59 9.3622225828712e-16 -0.0232754796270618 -0.040834306123269 0.0035754542268307 -0.00283244388699577
2012-02-15 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58755749031614 3.59 9.3622225828712e-16 -0.0232570861880708 -0.0402220948612588 0.00464383801775048 -0.00310542010743875
2012-02-16 3.59 2 0 0 0 0 0 0 0 0 0 0 0.6 100 NA 0 0.75 NA 1 NA 0 0.994354113148187 -1.11022302462516e-14 NA 3.58760634050981 3.59 9.3622225828712e-16 -0.0232378387665024 -0.0396075421731283 0.00569002090769977 -0.00310680708053734
