Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.33071187748378 4.59 9.3622225828712e-16 1.56925191546546 1.39349772221282 0.974157223585244 -0.107616870693127
2011-12-19 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.3358976399341 4.59 9.3622225828712e-16 1.56445502123663 1.37819672916272 0.941540173281489 -0.159051203554173
2011-12-20 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.34097968713542 4.59 9.3622225828712e-16 1.55963363951739 1.36272073473865 0.908227009565797 -0.195215605509247
2011-12-21 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.34596009339271 4.59 9.3622225828712e-16 1.55478765301598 1.34706727331581 0.874193166022932 -0.211870930215796
2011-12-22 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.35084089152486 4.59 9.3622225828712e-16 1.549916943364 1.33123381606366 0.839412678957461 -0.207435200274168
2011-12-23 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.35562407369436 4.59 9.3622225828712e-16 1.54502139110156 1.31521776903994 0.803858097361731 -0.183391289653231
2011-12-26 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.36031159222047 4.59 9.3622225828712e-16 1.54010087566227 1.29901647123364 0.767500389258916 -0.143811017472144
2011-12-27 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.36490536037606 4.59 9.3622225828712e-16 1.53515527535792 1.28262719255743 0.730308845325035 -0.0942554939182225
2011-12-28 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.36940725316854 4.59 9.3622225828712e-16 1.5301844673629 1.26604713179094 0.692250981173846 -0.0405805136464588
2011-12-29 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.37381910810517 4.59 9.3622225828712e-16 1.52518832769839 1.24927341447615 0.65329244034561 0.0119411913433223
2011-12-30 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.37814272594307 4.59 9.3622225828712e-16 1.52016673121624 1.23230309076721 0.6133969009373 0.0590618396243805
2012-01-04 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.38237987142421 4.59 9.3622225828712e-16 1.5151195515826 1.2151331332374 0.572525990032523 0.0976586006946722
2012-01-05 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.38653227399572 4.59 9.3622225828712e-16 1.51004666126127 1.19776043464685 0.530639211749466 0.125647279165423
2012-01-06 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.39060162851581 4.59 9.3622225828712e-16 1.50494793149672 1.18018180567531 0.487693896981439 0.141834993064941
2012-01-09 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.39458959594549 4.59 9.3622225828712e-16 1.49982323229689 1.16239397262564 0.44364518597129 0.145784827969846
2012-01-10 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.39849780402658 4.59 9.3622225828712e-16 1.49467243241559 1.14439357510449 0.398446059030269 0.137724238124042
2012-01-11 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.40232784794605 4.59 9.3622225828712e-16 1.48949539933471 1.12617716368832 0.35204743638337 0.118503815213725
2012-01-12 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.40608129098713 4.59 9.3622225828712e-16 1.48429199924602 1.10774119758439 0.304398375841409 0.0895980415695581
2012-01-13 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.40975966516739 4.59 9.3622225828712e-16 1.47906209703268 1.08908204229825 0.255446407507026 0.0531277247287205
2012-01-16 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.41336447186404 4.59 9.3622225828712e-16 1.47380555625045 1.0701959673213 0.205138059022274 0.0118703698597311
2012-01-17 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.41689718242676 4.59 9.3622225828712e-16 1.4685222391085 1.05107914385465 0.153419644310848 -0.0307903307594577
2012-01-18 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.42035923877822 4.59 9.3622225828712e-16 1.46321200644997 1.03172764258828 0.100238415152734 -0.0710344643860474
2012-01-19 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.42375205400266 4.59 9.3622225828712e-16 1.4578747177321 1.01213743155772 0.045544210587638 -0.104942981170028
2012-01-20 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.42707701292261 4.59 9.3622225828712e-16 1.45251023100602 0.992304374104565 -0.0107082129825222 -0.12900064937151
2012-01-30 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.43033547266415 4.59 9.3622225828712e-16 1.44711840289623 0.972224226971192 -0.0685559245308791 -0.140677034513697
2012-01-31 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.43352876321087 4.59 9.3622225828712e-16 1.4416990885796 0.951892638565561 -0.128023304467303 -0.138913161993625
2012-02-01 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.43665818794665 4.59 9.3622225828712e-16 1.4362521417641 0.931305147437506 -0.189115838916768 -0.124328339829274
2012-02-02 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.43972502418772 4.59 9.3622225828712e-16 1.43077741466705 0.910457181014981 -0.251811658692818 -0.0990578842190244
2012-02-03 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.44273052370397 4.59 9.3622225828712e-16 1.42527475799307 0.889344054656459 -0.316050115141252 -0.0662890574952486
2012-02-06 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.44567591322989 4.59 9.3622225828712e-16 1.41974402091147 0.867960971084828 -0.381716547518479 -0.0296740185121052
2012-02-07 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.44856239496529 4.59 9.3622225828712e-16 1.41418505103338 0.846303020278579 -0.448622319590722 0.00719847968612131
2012-02-08 4.59 2 0 0 0 0 0 0 0 0 0 0 0.28 100 NA 0 NA NA 1 NA 0 0.34223075994838 0 NA 4.45139114706598 4.59 9.3622225828712e-16 1.40859769438838 0.824365179908194 -0.51647929656327 0.0411697802535254
