Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD 3components 6components 9components 100components
2011-12-16 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.31704016121556 7.44 0 0.811749423561706 0.620378868284286 0.413020201002236 -0.0267291222240658
2011-12-19 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.31949935799125 7.44 0 0.808667046639632 0.611946687077874 0.396155977809319 -0.0434784900812839
2011-12-20 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.32190937083142 7.44 0 0.805568918849281 0.603474779748007 0.379181983014286 -0.0559218281729461
2011-12-21 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.3242711834148 7.44 0 0.802455058197778 0.594963707410249 0.362102373939696 -0.0629934914725339
2011-12-22 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.3265857597465 7.44 0 0.799325483275065 0.586414050235742 0.344921581791896 -0.0641824174635761
2011-12-23 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.32885404455157 7.44 0 0.79618021326581 0.577826407913897 0.327644323881504 -0.0595902696504986
2011-12-26 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.33107696366054 7.44 0 0.793019267961499 0.569201400121157 0.310275616036004 -0.049899342906621
2011-12-27 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.33325542438733 7.44 0 0.789842667772744 0.56053966699556 0.292820785158466 -0.0362589067668464
2011-12-28 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.33539031589958 7.44 0 0.786650433741771 0.551841869616824 0.275285481878555 -0.0201191856085545
2011-12-29 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.33748250958159 7.44 0 0.783442587555117 0.543108690491624 0.257675693233598 -0.00305028057045531
2011-12-30 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.33953285938996 7.44 0 0.78021915155653 0.534340834043693 0.239997755308273 0.0134219503926394
2012-01-04 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.34154220220216 7.44 0 0.776980148760076 0.525539027108364 0.222258365751653 0.0279441647986163
2012-01-05 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.34351135815812 7.44 0 0.773725602863452 0.516704019431129 0.204464596079835 0.0394228157992762
2012-01-06 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.34544113099495 7.44 0 0.770455538261507 0.507836584169719 0.186623903661214 0.0470748929582769
2012-01-09 7.44 2 0 0 0 0 0 0 0 0 0 0 1.3 100 NA 0 0.75 NA 1 NA 0 1.04419878264939 0 NA 7.34733230837505 7.44 0 0.767169980059986 0.49893751839923 0.168744143269767 0.050450774411066
