"quantcode" "name"
"1" "000001.SS" "SHIndex"
"2" "600004.SS" "BaiYunJiChang"
"3" "600026.SS" "ZhongYuanHaiNeng"
"4" "600038.SS" "ZhongZhiGuFen"
"5" "600056.SS" "ZhongGuoYiYao"
"6" "600062.SS" "HuaRunShuangHe"
"7" "600079.SS" "RenFuYiYao"
"8" "600160.SS" "JuHuaGuFen"
"9" "600161.SS" "TianTanShengWu"
"10" "600176.SS" "ZhongGuoJuShi"
"11" "600183.SS" "ShengYiKeJi"
"12" "600201.SS" "ShengWuGuFen"
"13" "600258.SS" "ShouLvJiuDian"
"14" "600260.SS" "KaiLeKeJi"
"15" "600273.SS" "JiaHuaNengYuan"
"16" "600277.SS" "YiLiJieNeng"
"17" "600282.SS" "NanGangGuFen"
"18" "600291.SS" "XiShuiGuFen"
"19" "600298.SS" "AnQiJiaoMu"
"20" "600315.SS" "ShangHaiJiaHua"
"21" "600348.SS" "YangQuanMeiYe"
"22" "600376.SS" "ShouKaiGuFen"
"23" "600380.SS" "JianKangYuan"
"24" "600392.SS" "ShengHeZiYuan"
"25" "600409.SS" "SanYouHuaGong"
"26" "600426.SS" "HuaLuHengSheng"
"27" "600446.SS" "JinZhengGuFen"
"28" "600460.SS" "ShiLanWei"
"29" "600466.SS" "LanGuangFaZhan"
"30" "600486.SS" "YangNongHuaGong"
"31" "600497.SS" "ChiHongXinZhe"
"32" "600498.SS" "FengHuoTongXun"
"33" "600500.SS" "ZhongHuaGuFen"
"34" "600511.SS" "GuoYaoGuFen"
"35" "600521.SS" "HuaHaiYaoYe"
"36" "600522.SS" "ZhongTianKeJi"
"37" "600528.SS" "ZhongTieGongYe"
"38" "600536.SS" "ZhongGuoRuanJian"
"39" "600549.SS" "XiaMenWuYe"
"40" "600566.SS" "JiChuanYaoYe"
"41" "600567.SS" "ShanYingZhiYe"
"42" "600572.SS" "KangEnBei"
"43" "600582.SS" "TianDiKeJi"
"44" "600584.SS" "ChangDianKeJi"
"45" "600598.SS" "BeiDaHuang"
"46" "600643.SS" "AiJianJiTuan"
"47" "600648.SS" "WaiGaoQiao"
"48" "600655.SS" "YuYuanGuFen"
"49" "600673.SS" "DongYangGuang"
"50" "600699.SS" "JunShengDianZi"
"51" "600717.SS" "TianJinGang"
"52" "600737.SS" "ZhongTangYaoYe"
"53" "600754.SS" "JingJiangJiuDian"
"54" "600777.SS" "XinChaoNengYuan"
"55" "600779.SS" "ShuiJingFang"
"56" "600782.SS" "XinGangGuFen"
"57" "600787.SS" "ZhongChuGuFen"
"58" "600801.SS" "HuaXinShuiNi"
"59" "600835.SS" "ShangHaiJiDian"
"60" "600863.SS" "NeiMengHuaDian"
"61" "600872.SS" "ZhongJuGaoXin"
"62" "600879.SS" "HangTianDianZi"
"63" "600884.SS" "ShanShanGuFen"
"64" "600885.SS" "HongFaGuFen"
"65" "600967.SS" "BeiMengYiJi"
"66" "601000.SS" "TangShanGang"
"67" "601099.SS" "TaiPingYang"
"68" "601100.SS" "HengLiYeYa"
"69" "601168.SS" "XiBuKuangYe"
"70" "601233.SS" "TongKunGuFen"
"71" "601598.SS" "ZhongGuoWaiYun"
"72" "601878.SS" "ZheShangZhengQuan"
"73" "601880.SS" "DaLianGang"
"74" "603019.SS" "ZhongKeShuGuang"
