Index SHIndex BaiYunJiChang ZhongYuanHaiNeng ZhongZhiGuFen ZhongGuoYiYao HuaRunShuangHe RenFuYiYao JuHuaGuFen TianTanShengWu ZhongGuoJuShi ShengYiKeJi ShengWuGuFen ShouLvJiuDian KaiLeKeJi JiaHuaNengYuan YiLiJieNeng NanGangGuFen XiShuiGuFen AnQiJiaoMu ShangHaiJiaHua YangQuanMeiYe ShouKaiGuFen JianKangYuan ShengHeZiYuan SanYouHuaGong HuaLuHengSheng JinZhengGuFen ShiLanWei LanGuangFaZhan YangNongHuaGong ChiHongXinZhe FengHuoTongXun ZhongHuaGuFen GuoYaoGuFen HuaHaiYaoYe ZhongTianKeJi ZhongTieGongYe ZhongGuoRuanJian XiaMenWuYe JiChuanYaoYe ShanYingZhiYe KangEnBei TianDiKeJi ChangDianKeJi BeiDaHuang AiJianJiTuan WaiGaoQiao YuYuanGuFen DongYangGuang JunShengDianZi TianJinGang ZhongTangYaoYe JingJiangJiuDian XinChaoNengYuan ShuiJingFang XinGangGuFen ZhongChuGuFen HuaXinShuiNi ShangHaiJiDian NeiMengHuaDian ZhongJuGaoXin HangTianDianZi ShanShanGuFen HongFaGuFen BeiMengYiJi TangShanGang TaiPingYang HengLiYeYa XiBuKuangYe TongKunGuFen ZhongGuoWaiYun ZheShangZhengQuan DaLianGang ZhongKeShuGuang HeBangShengWu JinShiYuan KouZiJiao LaoBaiXing JiXiangHangKong ChenGuangWenJu ZhaoYiChuangXin GuoYaoYiZhi DaYueCheng ZhongGuoChangCheng JiDongShuiNi GuoXinJianKang LiZhuJiTuan GuJingGongJiu XingRongHuanJing JiLinAoDong ChangChunGaoXin YangGuangCheng ShiJueZhongGuo DongBeiZhengQuan YanJingPiJiu TaiHeJiTuan HangFaKongZhi GuoHaiZhengQuan XinXingZhuGuan BeiXinJianCai LuXiHuaGong ShunXinNongYe ZhongDingGuFen HuaLingGangTie JiZhongNengYuan XiYeGuFen ZhongNanJianShe YinTaiZiYuan LangChaoXinXi ChengZhiGuFen XinDaLu LongPingGaoKe XinHeCheng HuaLanShengWu ZhongHangJiDian YiFanYiYao SuBoEr ShuangLuYaoYe ZiGuangGuoWei SanHuaZhiKong GuoXuanGaoKe TaiYangZhiYe WanFengAoWei ZhongTaiHuaXue SanGangMinGuang NanJiDianShang ZhongHuanGuFen GuangDianYunTong ZhengBangKeJi YouZuWangLuo ZhongHangGuangDian HeLiTai DongHuaNengYuan YuYueYiLiao WeoShiTong DongFangYvHong ShengNongFaZhan HaiDaJiTuan GeLinMei JieRuiGuFen BeiFangHuaChuang WeiXingXinCai QianFangKeJi HaiPuRui SiWeiTuXin GuangLianDa GuiZhouBaiLing QiMingXingChen JinZhengDa XieXinJiCheng FuLingZhaCai SuoFeiYa HaiNengDa LingYiZhiZao LongMangBaiLi YiLingYaoYe KuaJingTong MuLinSen KangHongYaoYe EnJieGuFen ShenNanDianLu YiWeiLiNeng JiQiRen BiShuiYuan SanJuHuanBao XinWeiTongXin GuanXianChuanMei WeiNingJianKang LiYaDe GuangHuanXinWang JianFanShengWu YiLianWangLuo HuaDaJiYin SZIndex CYIndex
2011-10-10 41745306 1241641 1810138 4698966 293579 1175923 1463688 6589747 932090 1393380 1891987 1488756 525651 7962451 49386787 746421 4508518 2111658 282531 1728924 9160864 17211297 1710372 1165876 4365309 1436730 4199027 1465414 3161687 285330 3960871 985205 4379760 907647 647324 1797412 2921567 430756 2272553 1727115 1176621 4494315 1015319 3212371 1936943 1888387 514613 4809014 1356643 1239835 2740806 1670412 427795 675857 2120576 1359165 4141615 3364454 1372415 2433205 1370020 3598227 1937032 365114 653968 1427502 8098302 66347839 6472749 5168227 318354563 257745 2754910 64400 19818983 395652 52000 50900 23600 65400 7400 151230 2039746 1596001 3845804 3579815 694252 267050 3547373 1718208 279924 3025810 13091998 1002185 2278374 1453349 1129466 12165293 3474035 481608 4547193 1548683 2217061 5279861 8382325 4887988 4518884 9356270 930986 1392016 5285253 906831 2419444 2212215 1921510 661882 150904 571010 371700 222284 2259483 861671 823211 7595657 841704 1586535 2302141 253589 1696189 1011848 1922877 2866651 6385996 416451 387919 620703 1352838 475140 584140 149402 50590 348311 595672 548602 913930 296003 720260 324291 2149377 1498159 322771 43650 369309 4302279 1103528 1142835 11805035 66000 29100 12311 29866 1360971 1646544 1103443 1712191 196979 687469 279132 12063503 498605 14500 5300 5500 36487766 1621991
2011-10-11 63975805 2091182 3105832 3141224 951357 1715906 1227334 11378028 1768587 5423358 1975553 1182641 609593 8793420 49982400 1070141 4243489 3696614 1765300 2751924 48878784 12375888 3363351 816392 9084714 3122344 5902933 2923832 4728911 892557 5860869 2719166 8357968 1165235 632528 3298037 5108457 644011 3471009 2349357 2825970 4277965 1459610 3905223 2695100 3230359 581132 5581529 2461628 2451839 2611736 2462191 361962 1228977 3080749 5584868 6019831 5424061 5314716 2642623 2105211 3405335 2615148 365114 1690327 1963159 15346958 66347839 9806841 8788717 318354563 257745 5943329 64400 19818983 395652 52000 50900 23600 65400 7400 471096 4556306 2518119 10302448 5908846 1056016 594335 12627219 5186748 782628 4105082 13091998 2501393 2883322 1394258 1748133 21620724 8428380 1722615 5943804 4486575 2535054 8135087 25532721 8713410 12381379 20523339 1327081 2959727 8014777 1364819 7640337 2646882 2170103 1071574 223874 969982 1681805 410529 4030558 1398301 1815958 9504279 1239756 2311006 11599592 796390 2834844 901853 986451 5061488 10500580 509438 524611 958604 1336139 568322 753472 469601 82050 506536 6187717 663239 1862620 324841 1093554 436159 3648341 1644897 348808 294992 888761 5662699 1717060 932324 11805035 66000 29100 12311 29866 1772668 2200560 1673152 1642252 263923 952933 652828 12063503 498605 14500 5300 5500 56603361 2572308
2011-10-12 91508567 4262015 8556842 3032429 863558 2729121 1076809 14179574 1659040 7695639 5470108 2156611 661878 11982022 38773410 1949579 7290136 2978217 3000906 2751924 34223632 19750530 5046219 807477 16576573 6251469 10432829 2517631 23051335 1133282 6669985 2180884 7320102 2773557 946250 2997474 8888553 1177487 3551344 2805029 3958426 7691046 1526484 6188842 4673295 6779451 1294399 7377669 3716864 1369189 5223111 4434399 778872 2602484 3471444 13462017 9722023 6985445 3734843 6605908 3728705 5788951 3710012 365114 2429098 2945528 31396726 66347839 16277624 13486627 318354563 257745 8813065 64400 19818983 395652 52000 50900 23600 65400 7400 378452 8903936 4271624 10844929 5285086 1687615 713192 16598562 9906123 719903 2556845 13091998 5963242 5270954 4050954 2122944 30577093 22057089 2876341 7956962 4523062 1542851 16293961 22567278 10854739 12042936 23557518 1948007 2438280 10333213 2016335 4006497 3628195 2534687 1864058 298099 974948 868021 575101 8983203 2805349 5228813 15121119 2249808 3007336 12874642 964278 2066078 1399917 1060449 6036407 10500580 829135 455437 1947142 1974585 632322 1048349 633624 132235 907033 4542308 933827 1862620 276600 2648005 271784 4550729 2277184 1506549 352784 2241593 9582146 2151251 1261602 11805035 66000 29100 12311 29866 2739384 3159207 2143701 3923296 669431 1353008 846804 12063503 498605 14500 5300 5500 81409717 3644532
2011-10-13 87860106 5715922 10227102 2430561 1111891 3274381 2099829 15605103 2385118 7029764 3539307 1740969 1081616 17048252 27471797 1306155 8465630 3332560 1192681 3232699 20575371 13831774 4620129 1644922 20394843 4458475 10634358 2342197 23051335 988918 6898432 3781388 6932242 2757021 1547401 5100502 9792827 1630100 3346989 2976881 2828153 15691315 2558943 9091436 4789276 5620048 918049 6627039 4288227 1945118 5179250 4973972 1099652 1510258 3509328 6291642 7686405 11302302 2603454 5392653 3480047 5011651 4678023 365114 2321333 2885842 98798540 66347839 17290175 15435519 318354563 257745 9659386 64400 19818983 395652 52000 50900 23600 65400 7400 338354 12445756 3631224 13080666 7567813 1731150 585377 13204722 5423047 841804 2997723 13091998 3387310 8149595 2403899 2211770 23144298 20964815 2167962 11643676 4688746 3043852 25587004 22567278 10207906 7461058 19512786 2265818 3215921 13346882 3959684 4069695 4198117 3003386 2289465 264066 616228 890728 302292 4599458 2712078 3341344 13813785 2964390 2798360 12459875 1527962 4565791 1215400 961167 4999332 10500580 875057 1041118 1536255 3302822 1086113 1124129 527257 150912 877817 3339902 1112053 2222411 805101 3853150 478831 2955768 2114411 2967227 301456 1303043 8512623 1937253 1175818 11805035 66000 29100 12311 29866 3527176 2702441 2562729 6255800 708092 1510096 1404437 12063503 498605 14500 5300 5500 78954630 4197492
2011-10-14 60673159 2714218 6451926 3023708 893775 7759461 1961263 13457787 1702295 3404664 4614234 1366772 508103 13852770 26244221 728824 4302976 2299056 2068320 1685038 17623360 8453562 3183930 666397 19497232 5365166 7632378 1666035 43261668 485304 3779569 2114496 4490677 1813465 713200 2787634 16055385 1033104 3810348 1535749 1972309 9606254 725873 4698646 6713389 4016599 467482 3430638 2744074 5908539 3170409 2974375 576390 1750728 1669065 3044887 5919410 7387067 2365034 3689928 2504649 5132209 2739542 365114 969098 2567110 59555740 66347839 9137686 9963544 318354563 257745 4636000 64400 19818983 395652 52000 50900 23600 65400 7400 423420 11236484 2576326 8799558 6459635 1257864 162877 10243563 3368270 231518 1027001 13091998 3311111 2608398 1457966 2095401 22611251 9095494 1037741 9585281 3937544 2837427 9960119 20057839 5610655 3542638 15212529 3441767 1946678 8663257 2747074 3779526 2857892 2529174 3789715 1412071 498293 1204765 142206 3299551 1643446 1814421 13813785 2964390 7844004 6874076 956880 2020447 780798 1098003 4130303 10500580 354630 861562 829378 2001506 815435 672457 227853 78859 325468 2070479 920238 1231040 299006 1562519 1502887 3794139 1485778 976150 170323 1283327 16105117 2712390 922410 11805035 66000 29100 12311 29866 2488664 1957992 1299038 3466636 410248 756646 715743 12063503 498605 14500 5300 5500 56955093 3330833
2011-10-17 58267682 2257725 5011128 2182030 335188 2273286 1106229 11700092 802866 2927513 2733293 3338221 1041389 11538047 16533500 971054 2823491 1547601 1567680 1589596 16904481 7688967 3372308 475669 15322024 2779550 7632378 1375140 17986851 585272 4840718 6861789 4344674 1526720 782976 3139499 11473749 1476855 2329341 1623906 1345811 5903810 994457 5372178 4754155 5430360 497187 4965835 1849745 5908539 2621537 7323091 1298396 1392245 1960490 2094291 5611903 10041569 1779042 3076184 1788858 4454935 3490716 106071 911924 1339600 58356918 66347839 8826463 9212564 318354563 257745 4129956 64400 19818983 395652 52000 50900 23600 65400 7400 294442 7411328 3008481 8083786 5407114 1041652 572150 7827213 6443594 298616 1267712 13091998 2992006 2684331 6377093 1651160 16058511 4744861 881746 6061798 3433347 2837427 6460803 18993669 6313303 4186355 15460589 5200955 2453495 12645477 3860281 3041729 3041047 1633809 1776463 1143575 633808 764984 212881 5082567 1606385 1855325 10354920 1838490 4535899 13506237 1038478 2148400 780798 1572666 4391170 10500580 565730 573272 1329592 2177001 815435 1064820 433104 252388 525279 1911807 855760 2057792 1472251 1471258 2947050 3379378 1421951 718993 172384 1622175 20743807 4180258 2184192 11805035 66000 29100 12311 29866 3166677 1869424 976989 3507601 446584 2708660 984750 12063503 498605 14500 5300 5500 54292782 3697721
2011-10-18 79525744 2437782 4740326 4639412 357814 3301743 723176 10209741 1752469 5654352 2850073 2598815 874792 24521735 18732858 1492555 3299471 2150050 2199321 1087954 14201143 8149990 3118984 698962 13947972 3604065 7553084 1563879 18377671 611429 7874280 4783740 4651781 1934179 591180 2990010 5965593 3808670 3257971 2085143 1889000 4946510 511287 5035182 7271308 4554914 659195 5929168 4351455 5908539 3954963 9769480 808250 1901923 2751888 2491500 5135494 6850172 2348097 9133423 2713525 10127012 3490716 292098 1015200 2880700 60654275 66347839 13942566 26568047 318354563 257745 6089966 64400 19818983 395652 52000 50900 23600 65400 7400 443650 3087740 13731608 7986245 6491093 1572861 352306 9713048 3934329 267668 1030721 13091998 2174186 5696932 3651375 1961024 19898608 7539986 2070952 7484509 3429840 4462250 7255299 16213556 9886028 4747818 16971008 7928493 2185115 13606275 6358843 2734386 2900753 1667420 1653813 806180 347144 949294 248400 6808584 1804725 1729331 7785847 1469287 3437821 7826816 3185923 5106071 678667 536870 4431129 10500580 600727 1049506 1140261 3791538 580665 1097562 460646 252388 667748 1837145 934557 1162343 1394950 1535103 1214576 3985060 1812141 584483 210057 1622175 15243996 4444470 2037118 11805035 66000 29100 12311 29866 2807910 2563840 752932 3981453 675644 2708660 1716889 12063503 498605 14500 5300 5500 58061981 3930548
2011-10-19 58534637 2146052 2999063 3128355 582451 4034836 1340799 7125850 1089234 4526737 3419767 1417316 454906 21477511 17677290 726232 3289420 1428220 2002506 919399 18494353 7225088 2693635 883113 15640857 2161556 4565993 1432488 9957374 922945 6011529 2803506 2280129 2348208 694543 1950066 8744351 1612240 3452609 1199620 1373591 3896104 490076 8253237 5035947 2596898 547698 3964475 5952029 5908539 1974534 4109179 894013 623679 2532871 2151155 5168170 4447509 2139177 4129040 1879762 4259303 2020746 829488 2334147 1391053 43875655 66347839 8595401 24606068 318354563 257745 4331075 64400 19818983 395652 52000 50900 23600 65400 7400 321389 5844037 6246540 5193120 5827574 659923 210799 7773538 2577005 199231 1027864 13091998 1776155 7046396 2244292 1115812 18282585 8045437 1167542 3522218 2758297 2311511 4548215 18924151 6467817 3752026 9336950 3657933 1610122 19123630 2400709 3057649 1249411 1397050 1401800 2787155 442897 1070941 264319 5751723 2309262 1498289 6632180 1443886 1972580 9742933 1094430 3992166 705100 685451 2465435 13355189 202599 438718 1150342 1660189 907251 1137856 140414 252388 430172 2879671 933883 1021932 825914 761365 638340 2017958 6470132 494529 160649 981858 13877412 1830885 781469 11805035 66000 29100 12311 29866 1597965 1981607 647569 1574589 230595 1811257 667398 12063503 498605 14500 5300 5500 51118543 3006662
2011-10-20 65425215 3236315 3868778 7344145 1023869 1663581 4377113 6261827 1922815 5886424 3058431 2278063 584088 36599762 11657336 1249210 5196348 1796346 1982135 1950821 27898291 11949444 3293764 1492079 9770736 2189216 5607317 2502666 8950607 1567888 12447026 2971677 4164229 2793695 1090139 5038281 8461037 1375154 5479474 1756693 2289701 5313792 1418324 18292689 5007329 3670063 660000 5783993 10323708 5908539 5010547 11130269 725449 1126398 4484342 2417983 7307796 4162296 2246038 5820797 3427409 6603324 2079462 1129076 2228065 1547369 45881647 66347839 13058907 17064020 318354563 257745 10647298 64400 19818983 395652 52000 50900 23600 65400 7400 535674 6500632 4616213 11007751 20473691 1069920 221588 6881729 4320503 705841 1548445 13091998 1598744 5207822 2980371 1708544 12025525 8314325 2706860 4448805 3708528 5691343 8249100 32523606 9180992 3883521 18396533 2419506 2024446 15111053 2547052 2674622 1714119 1906617 2494970 1037449 1295636 794715 324620 3681781 2976721 1105417 8751677 1186215 2276564 5941204 707238 3098292 558360 1340501 2781493 8904169 651909 478256 1107674 1717721 803850 835146 434973 252388 675148 2047445 1053462 1155179 424283 1197316 1584221 2369856 3190839 1889418 95920 991363 15566068 2189311 928107 11805035 66000 29100 12311 29866 2245211 2241912 1904335 2873778 422342 1164683 481660 12063503 498605 14500 5300 5500 61275763 3368182
2011-10-21 48436725 1741941 2645988 1832101 1390557 2932841 1616280 6204011 1004273 3043252 2505491 1565674 412319 8112749 14860135 765451 1946199 3096810 689729 1049621 10402382 5694072 2131106 817260 9211854 2666305 3900403 1709961 4727149 442520 8538050 2222140 4755494 1337979 421828 1771611 4603581 714386 5168941 1018579 1488032 2791062 1333363 8643110 4577846 4695208 274512 3381088 3071995 1559700 2917862 11130269 374977 764500 1623882 1166850 2643758 2728839 4549442 4683938 2136127 4101268 2912947 1700387 3985155 898085 31686470 66347839 11667795 14006258 318354563 257745 5590387 64400 19818983 395652 52000 50900 23600 65400 7400 343690 2380204 1963616 6346336 8551230 776670 58076 6891481 2354650 417514 1339256 13091998 1385522 5413464 1708506 1517374 8725512 7240120 1088640 2454566 10382888 2026094 5476984 14304645 5165588 5131017 12064096 1654383 1549251 11913705 3091000 1095895 1619249 1201887 1451657 842969 1827714 616120 96660 3404011 1859012 568891 4458547 1431220 1983003 8161156 1305055 4425422 983165 3260685 2937654 6278756 256323 325524 1615080 1388306 1044498 1026993 374828 252388 333930 1002415 582629 723047 245832 877207 1183001 2087000 1884570 1375666 163909 855003 13011372 1280662 1168026 11805035 66000 29100 12311 29866 1574000 1188489 1670857 3326368 166755 887816 629280 12063503 498605 14500 5300 5500 49403095 2590864
